Sensor_Type,count,mean,std,min,25%,50%,75%,max
Across_HE_vs_LB,100.0000,0.1681,0.2214,0.0007,0.0350,0.0670,0.1740,0.9171
Across_HE_vs_LF,100.0000,0.1926,0.2266,0.0001,0.0518,0.0864,0.2374,0.8397
Across_HE_vs_RF,100.0000,0.1843,0.2185,0.0014,0.0409,0.0822,0.2179,0.8476
Across_LB_vs_LF,100.0000,0.2282,0.2474,0.0015,0.0472,0.1153,0.3777,0.8819
Across_LB_vs_RF,100.0000,0.2132,0.2422,0.0006,0.0435,0.1051,0.3381,0.8820
Across_LF_vs_RF,100.0000,0.2965,0.3013,0.0017,0.0506,0.1361,0.5405,0.9297
Within_HE,1431.0000,0.1716,0.2006,0.0002,0.0419,0.0934,0.2220,1.0000
Within_LB,1431.0000,0.2561,0.2718,0.0001,0.0431,0.1360,0.4480,1.0000
Within_LF,1431.0000,0.2993,0.3026,0.0002,0.0651,0.1606,0.5836,1.0000
Within_RF,1431.0000,0.2970,0.3015,0.0002,0.0618,0.1566,0.5424,1.0000
