Feature,d_healthy_vs_neuro,d_healthy_vs_neuro_interp,d_healthy_vs_ortho,d_healthy_vs_ortho_interp,d_neuro_vs_ortho,d_neuro_vs_ortho_interp
HE_Acc_X_mean,-0.198243,Negligible,0.110901,Negligible,0.254884,Small
HE_Acc_X_std,0.554089,Medium,0.772573,Medium,0.275056,Small
HE_Acc_X_rms,-0.153992,Negligible,0.207385,Small,0.266468,Small
HE_Acc_X_dom_freq,-0.162796,Negligible,0.012797,Negligible,0.160381,Negligible
HE_Acc_X_spec_centroid,0.445031,Small,-0.368188,Small,-0.809074,Large
HE_Acc_X_spec_power,0.535234,Medium,0.688328,Medium,0.175749,Negligible
HE_Acc_Y_mean,-0.173486,Negligible,0.462100,Small,0.531908,Medium
HE_Acc_Y_std,0.067700,Negligible,0.277689,Small,0.243416,Small
HE_Acc_Y_rms,-0.010724,Negligible,0.032056,Negligible,0.036652,Negligible
HE_Acc_Y_dom_freq,-0.026207,Negligible,0.182544,Negligible,0.224791,Small
HE_Acc_Y_spec_centroid,0.228078,Small,-0.307861,Small,-0.541737,Medium
HE_Acc_Y_spec_power,0.101736,Negligible,0.172545,Negligible,0.098854,Negligible
HE_Acc_Z_mean,0.630458,Medium,-0.248265,Small,-0.861899,Large
HE_Acc_Z_std,0.657939,Medium,0.672847,Medium,0.129375,Negligible
HE_Acc_Z_rms,0.731261,Medium,-0.030395,Negligible,-0.734299,Medium
HE_Acc_Z_dom_freq,-0.276348,Small,0.135272,Negligible,0.384782,Small
HE_Acc_Z_spec_centroid,0.278987,Small,-0.288402,Small,-0.570679,Medium
HE_Acc_Z_spec_power,0.624470,Medium,0.572661,Medium,0.079217,Negligible
HE_FreeAcc_X_mean,0.138083,Negligible,-0.415155,Small,-0.696895,Medium
HE_FreeAcc_X_std,0.267757,Small,0.493396,Small,0.245338,Small
HE_FreeAcc_X_rms,0.312838,Small,0.383644,Small,0.125920,Negligible
HE_FreeAcc_X_dom_freq,-0.828940,Large,0.464594,Small,1.224517,Large
HE_FreeAcc_X_spec_centroid,0.071441,Negligible,-0.259851,Small,-0.347740,Small
HE_FreeAcc_X_spec_power,0.246432,Small,0.419655,Small,0.165525,Negligible
HE_FreeAcc_Y_mean,-0.040071,Negligible,0.302493,Small,0.257224,Small
HE_FreeAcc_Y_std,0.399552,Small,0.563907,Medium,0.277054,Small
HE_FreeAcc_Y_rms,0.213443,Small,0.491376,Small,0.315880,Small
HE_FreeAcc_Y_dom_freq,0.864367,Large,-0.189796,Negligible,-1.010162,Large
HE_FreeAcc_Y_spec_centroid,0.569740,Medium,-0.410842,Small,-0.975082,Large
HE_FreeAcc_Y_spec_power,0.472041,Small,0.468051,Small,0.112269,Negligible
HE_FreeAcc_Z_mean,0.214571,Small,0.287360,Small,0.056774,Negligible
HE_FreeAcc_Z_std,0.657939,Medium,0.672847,Medium,0.129375,Negligible
HE_FreeAcc_Z_rms,0.168984,Negligible,0.304722,Small,0.151074,Negligible
HE_FreeAcc_Z_dom_freq,-0.276348,Small,0.135272,Negligible,0.384782,Small
HE_FreeAcc_Z_spec_centroid,0.278987,Small,-0.288402,Small,-0.570679,Medium
HE_FreeAcc_Z_spec_power,0.624470,Medium,0.572661,Medium,0.079217,Negligible
HE_Gyr_X_mean,0.170333,Negligible,0.134273,Negligible,-0.056042,Negligible
HE_Gyr_X_std,0.229977,Small,0.493772,Small,0.264323,Small
HE_Gyr_X_rms,0.214708,Small,0.523929,Medium,0.316813,Small
HE_Gyr_X_dom_freq,-0.191725,Negligible,0.098505,Negligible,0.253836,Small
HE_Gyr_X_spec_centroid,-0.071228,Negligible,-0.246016,Small,-0.203804,Small
HE_Gyr_X_spec_power,0.186144,Negligible,0.422565,Small,0.209037,Small
HE_Gyr_Y_mean,-0.221450,Small,-0.015362,Negligible,0.240312,Small
HE_Gyr_Y_std,0.430651,Small,0.551539,Medium,0.078225,Negligible
HE_Gyr_Y_rms,0.444394,Small,0.586288,Medium,0.102953,Negligible
HE_Gyr_Y_dom_freq,-0.289508,Small,0.050247,Negligible,0.330007,Small
HE_Gyr_Y_spec_centroid,-0.275203,Small,-0.206940,Small,0.057493,Negligible
HE_Gyr_Y_spec_power,0.079030,Negligible,0.402868,Small,0.028228,Negligible
HE_Gyr_Z_mean,0.092824,Negligible,0.055989,Negligible,-0.037518,Negligible
HE_Gyr_Z_std,0.490311,Small,0.510411,Medium,0.123342,Negligible
HE_Gyr_Z_rms,0.489640,Small,0.519026,Medium,0.131734,Negligible
HE_Gyr_Z_dom_freq,-0.130162,Negligible,0.209354,Small,0.293616,Small
HE_Gyr_Z_spec_centroid,-0.168498,Negligible,-0.238495,Small,-0.110629,Negligible
HE_Gyr_Z_spec_power,0.498417,Small,0.396679,Small,-0.003979,Negligible
LB_Acc_X_mean,0.523549,Medium,-0.217995,Small,-0.714927,Medium
LB_Acc_X_std,0.605364,Medium,0.727837,Medium,0.268566,Small
LB_Acc_X_rms,0.610638,Medium,-0.075213,Negligible,-0.686040,Medium
LB_Acc_X_dom_freq,0.048801,Negligible,-0.250202,Small,-0.326601,Small
LB_Acc_X_spec_centroid,0.525751,Medium,-0.351234,Small,-0.909510,Large
LB_Acc_X_spec_power,0.669244,Medium,0.641378,Medium,0.083353,Negligible
LB_Acc_Y_mean,0.251721,Small,-0.422670,Small,-0.537292,Medium
LB_Acc_Y_std,0.080643,Negligible,0.246930,Small,0.195493,Negligible
LB_Acc_Y_rms,-0.186255,Negligible,0.078679,Negligible,0.255635,Small
LB_Acc_Y_dom_freq,0.727240,Medium,0.507109,Medium,-0.063365,Negligible
LB_Acc_Y_spec_centroid,0.744028,Medium,-0.139239,Negligible,-0.858765,Large
LB_Acc_Y_spec_power,0.084329,Negligible,0.101071,Negligible,0.021141,Negligible
LB_Acc_Z_mean,0.013174,Negligible,-0.051520,Negligible,-0.051548,Negligible
LB_Acc_Z_std,0.369142,Small,0.708120,Medium,0.457097,Small
LB_Acc_Z_rms,-0.152238,Negligible,0.165940,Negligible,0.303111,Small
LB_Acc_Z_dom_freq,0.023876,Negligible,0.560158,Medium,0.566559,Medium
LB_Acc_Z_spec_centroid,0.426025,Small,-0.310921,Small,-0.747115,Medium
LB_Acc_Z_spec_power,0.433903,Small,0.608373,Medium,0.273155,Small
LB_FreeAcc_X_mean,0.090166,Negligible,0.156658,Negligible,0.031385,Negligible
LB_FreeAcc_X_std,0.605364,Medium,0.727837,Medium,0.268566,Small
LB_FreeAcc_X_rms,0.590600,Medium,0.722391,Medium,0.278749,Small
LB_FreeAcc_X_dom_freq,0.048801,Negligible,-0.250202,Small,-0.326601,Small
LB_FreeAcc_X_spec_centroid,0.525751,Medium,-0.351234,Small,-0.909510,Large
LB_FreeAcc_X_spec_power,0.669244,Medium,0.641378,Medium,0.083353,Negligible
LB_FreeAcc_Y_mean,-0.015691,Negligible,-0.022841,Negligible,0.003050,Negligible
LB_FreeAcc_Y_std,0.080643,Negligible,0.246930,Small,0.195493,Negligible
LB_FreeAcc_Y_rms,-0.034208,Negligible,0.229252,Small,0.276041,Small
LB_FreeAcc_Y_dom_freq,0.727240,Medium,0.507109,Medium,-0.063365,Negligible
LB_FreeAcc_Y_spec_centroid,0.744028,Medium,-0.139239,Negligible,-0.858765,Large
