Feature,H_Statistic,p_value,eta_squared,Effect_Size,Significant
HE_FreeAcc_X_dom_freq,616.125577,0.000000,0.236657,Large,Yes
LF_Acc_Y_mean,546.761973,0.000000,0.209928,Large,Yes
RF_FreeAcc_Y_spec_centroid,515.194200,0.000000,0.197763,Large,Yes
RF_Acc_Y_spec_centroid,515.194200,0.000000,0.197763,Large,Yes
RF_FreeAcc_Z_spec_centroid,450.791477,0.000000,0.172945,Large,Yes
RF_Acc_Z_spec_centroid,450.791477,0.000000,0.172945,Large,Yes
LF_FreeAcc_Y_spec_centroid,446.200326,0.000000,0.171175,Large,Yes
LF_Acc_Y_spec_centroid,446.200326,0.000000,0.171175,Large,Yes
LB_Acc_X_mean,405.002781,0.000000,0.155300,Large,Yes
RF_Acc_X_spec_centroid,400.393357,0.000000,0.153523,Large,Yes
RF_FreeAcc_X_spec_centroid,400.393357,0.000000,0.153523,Large,Yes
LB_Acc_X_rms,391.990397,0.000000,0.150285,Large,Yes
RF_Acc_Y_mean,387.969770,0.000000,0.148736,Large,Yes
HE_FreeAcc_Y_dom_freq,375.181267,0.000000,0.143808,Large,Yes
RF_Acc_Z_mean,360.362440,0.000000,0.138097,Medium,Yes
LF_Acc_X_spec_centroid,351.502837,0.000000,0.134683,Medium,Yes
LF_FreeAcc_X_spec_centroid,351.502837,0.000000,0.134683,Medium,Yes
LF_FreeAcc_Z_spec_centroid,349.288718,0.000000,0.133830,Medium,Yes
LF_Acc_Z_spec_centroid,349.288718,0.000000,0.133830,Medium,Yes
LB_FreeAcc_Y_spec_centroid,342.932007,0.000000,0.131380,Medium,Yes
LB_Acc_Y_spec_centroid,342.932007,0.000000,0.131380,Medium,Yes
HE_FreeAcc_Y_spec_centroid,324.174550,0.000000,0.124152,Medium,Yes
HE_Acc_Z_mean,312.004606,0.000000,0.119462,Medium,Yes
LF_Acc_Z_mean,311.501498,0.000000,0.119268,Medium,Yes
HE_Acc_Z_rms,288.008261,0.000000,0.110215,Medium,Yes
LF_Acc_Z_rms,287.830668,0.000000,0.110147,Medium,Yes
RF_Acc_Z_rms,266.430712,0.000000,0.101900,Medium,Yes
RF_FreeAcc_Z_mean,264.262083,0.000000,0.101064,Medium,Yes
LB_Gyr_Z_rms,259.669833,0.000000,0.099295,Medium,Yes
LB_Gyr_Z_spec_power,258.502342,0.000000,0.098845,Medium,Yes
