Feature,Sensor,Channel,Metric,Overall_Mean,Overall_Std,Overall_Min,Overall_Max,Overall_Median,healthy_Mean,healthy_Std,healthy_Median,healthy_N,neuro_Mean,neuro_Std,neuro_Median,neuro_N,ortho_Mean,ortho_Std,ortho_Median,ortho_N
HE_Acc_X_mean,HE,Acc,X_mean,9.371523,0.771121,0.000000,14.061965,9.500609,9.274519,0.397713,9.360036,471,9.433882,0.883247,9.563027,1714,9.223355,0.524604,9.381445,413
HE_Acc_X_std,HE,Acc,X_std,0.937865,0.524795,0.000000,3.090510,0.907815,1.189320,0.554713,1.171243,471,0.908805,0.492137,0.868944,1714,0.771700,0.523942,0.653251,413
HE_Acc_X_rms,HE,Acc,X_rms,9.432986,0.770550,0.000000,14.098272,9.559747,9.366560,0.404947,9.449919,471,9.490380,0.882566,9.607266,1714,9.270549,0.521318,9.436956,413
HE_Acc_X_dom_freq,HE,Acc,X_dom_freq,1.656595,0.892020,0.166667,8.333333,1.666667,1.569002,0.729903,1.666667,471,1.704687,0.859700,1.666667,1714,1.556901,1.143047,1.500000,413
HE_Acc_X_spec_centroid,HE,Acc,X_spec_centroid,5.691075,1.689316,0.000000,13.454407,5.498660,6.059393,1.559973,5.877757,471,5.354172,1.591364,5.135881,1714,6.669224,1.759768,6.297526,413
HE_Acc_X_spec_power,HE,Acc,X_spec_power,695.253818,733.756313,0.000000,5749.916056,496.129620,1036.374699,854.257864,825.838325,471,642.932639,698.842872,454.552056,1714,523.366566,597.194454,256.897496,413
HE_Acc_Y_mean,HE,Acc,Y_mean,-0.284832,0.897312,-3.319134,6.395177,-0.308772,-0.338937,0.753322,-0.387457,471,-0.179252,0.961239,-0.242933,1714,-0.661300,0.628035,-0.646007,413
HE_Acc_Y_std,HE,Acc,Y_std,0.879574,0.437984,0.000000,2.803017,0.850898,0.919606,0.454213,0.887655,471,0.891128,0.410960,0.857623,1714,0.785968,0.510352,0.702138,413
HE_Acc_Y_rms,HE,Acc,Y_rms,1.220251,0.602098,0.000000,6.431073,1.143456,1.218458,0.498602,1.142713,471,1.225081,0.646446,1.134866,1714,1.202251,0.513415,1.188311,413
HE_Acc_Y_dom_freq,HE,Acc,Y_dom_freq,0.808442,0.579311,0.166667,6.833333,0.833333,0.816348,0.628759,0.833333,471,0.831389,0.557921,0.833333,1714,0.704197,0.597553,0.666667,413
HE_Acc_Y_spec_centroid,HE,Acc,Y_spec_centroid,5.192020,1.810905,0.000000,13.447948,5.000625,5.364174,1.752999,5.134119,471,4.966490,1.741052,4.768080,1714,5.931663,1.941247,5.566141,413
HE_Acc_Y_spec_power,HE,Acc,Y_spec_power,581.180144,538.155465,0.000000,4729.887515,435.868122,633.037117,611.829121,474.339960,471,579.670862,497.944530,442.785959,1714,528.304294,601.417760,296.787547,413
HE_Acc_Z_mean,HE,Acc,Z_mean,1.228696,2.024419,-7.683808,7.766399,1.354160,1.952936,1.804051,2.186023,471,0.745775,1.944002,0.815670,1714,2.406929,1.856344,2.572512,413
HE_Acc_Z_std,HE,Acc,Z_std,1.007779,0.624393,0.000000,4.870352,0.879190,1.349119,0.816563,1.119597,471,0.945876,0.543829,0.830511,1714,0.875409,0.548155,0.797727,413
HE_Acc_Z_rms,HE,Acc,Z_rms,2.349640,1.221265,0.000000,7.938398,2.193878,2.883896,1.110355,2.798618,471,2.065175,1.122125,1.846942,1714,2.920918,1.330258,2.817968,413
