Sensor_Type,count,mean,std,min,25%,50%,75%,max
Across_HE_vs_LB,100.0000,0.1612,0.2181,0.0030,0.0321,0.0736,0.1716,0.9178
Across_HE_vs_LF,100.0000,0.1722,0.2260,0.0017,0.0297,0.0822,0.2098,0.8252
Across_HE_vs_RF,100.0000,0.1683,0.2130,0.0040,0.0335,0.0927,0.1883,0.8316
Across_LB_vs_LF,100.0000,0.2378,0.2371,0.0016,0.0684,0.1426,0.3693,0.8468
Across_LB_vs_RF,100.0000,0.2256,0.2310,0.0007,0.0536,0.1302,0.3331,0.8477
Across_LF_vs_RF,100.0000,0.2944,0.3068,0.0010,0.0414,0.1324,0.5432,0.9360
Within_HE,1431.0000,0.1581,0.1951,0.0001,0.0284,0.0802,0.2148,1.0000
Within_LB,1431.0000,0.2242,0.2485,0.0000,0.0427,0.1035,0.3648,1.0000
Within_LF,1431.0000,0.2781,0.3001,0.0008,0.0491,0.1247,0.5570,1.0000
Within_RF,1431.0000,0.2732,0.3012,0.0003,0.0389,0.1214,0.5433,1.0000
