Feature,H_Statistic,p_value,eta_squared,Effect_Size,Significant
HE_FreeAcc_X_dom_freq,3491.648652,0.000000,0.302553,Large,Yes
HE_FreeAcc_Y_dom_freq,2841.881099,0.000000,0.246218,Large,Yes
RF_FreeAcc_Y_spec_centroid,2465.381424,0.000000,0.213835,Large,Yes
RF_Acc_Y_spec_centroid,2465.381424,0.000000,0.213835,Large,Yes
LF_Acc_Y_mean,2365.491951,0.000000,0.205182,Large,Yes
LF_FreeAcc_Y_spec_centroid,2240.111488,0.000000,0.194297,Large,Yes
LF_Acc_Y_spec_centroid,2240.111488,0.000000,0.194297,Large,Yes
LF_Acc_Z_rms,2054.564050,0.000000,0.178189,Large,Yes
RF_Acc_Z_rms,1998.670434,0.000000,0.173322,Large,Yes
RF_Acc_X_std,1955.194502,0.000000,0.169548,Large,Yes
RF_FreeAcc_X_std,1955.194502,0.000000,0.169548,Large,Yes
RF_Acc_X_spec_power,1955.188798,0.000000,0.169548,Large,Yes
RF_FreeAcc_X_spec_power,1955.188798,0.000000,0.169548,Large,Yes
RF_Acc_Z_spec_centroid,1927.872241,0.000000,0.167176,Large,Yes
RF_FreeAcc_Z_spec_centroid,1927.872241,0.000000,0.167176,Large,Yes
LF_FreeAcc_X_spec_power,1919.226820,0.000000,0.166440,Large,Yes
LF_Acc_X_spec_power,1919.226820,0.000000,0.166440,Large,Yes
LF_FreeAcc_X_std,1919.223164,0.000000,0.166440,Large,Yes
LF_Acc_X_std,1919.223164,0.000000,0.166440,Large,Yes
LB_FreeAcc_X_std,1873.770618,0.000000,0.162325,Large,Yes
LB_Acc_X_std,1873.770618,0.000000,0.162325,Large,Yes
LB_FreeAcc_X_spec_power,1873.770182,0.000000,0.162325,Large,Yes
LB_Acc_X_spec_power,1873.770182,0.000000,0.162325,Large,Yes
LB_Acc_X_rms,1843.270471,0.000000,0.159680,Large,Yes
LF_FreeAcc_X_rms,1838.465916,0.000000,0.159429,Large,Yes
LB_FreeAcc_X_rms,1838.587640,0.000000,0.159274,Large,Yes
RF_FreeAcc_X_rms,1834.892298,0.000000,0.159105,Large,Yes
RF_FreeAcc_X_spec_centroid,1731.431596,0.000000,0.150124,Large,Yes
RF_Acc_X_spec_centroid,1731.431596,0.000000,0.150124,Large,Yes
RF_Acc_Y_mean,1714.357204,0.000000,0.148642,Large,Yes
RF_FreeAcc_Y_std,1689.719158,0.000000,0.146503,Large,Yes
RF_Acc_Y_std,1689.719158,0.000000,0.146503,Large,Yes
RF_Acc_Y_spec_power,1689.718228,0.000000,0.146503,Large,Yes
RF_FreeAcc_Y_spec_power,1689.718228,0.000000,0.146503,Large,Yes
RF_FreeAcc_Y_rms,1657.552495,0.000000,0.143711,Large,Yes
HE_Acc_X_std,1652.957096,0.000000,0.143263,Large,Yes
HE_Acc_X_spec_power,1652.956557,0.000000,0.143262,Large,Yes
LF_FreeAcc_Z_spec_centroid,1634.576676,0.000000,0.141729,Large,Yes
LF_Acc_Z_spec_centroid,1634.576676,0.000000,0.141729,Large,Yes
LF_Acc_Z_std,1595.715351,0.000000,0.138355,Medium,Yes
LF_FreeAcc_Z_std,1595.715351,0.000000,0.138355,Medium,Yes
LF_Acc_Z_spec_power,1595.712757,0.000000,0.138355,Medium,Yes
LF_FreeAcc_Z_spec_power,1595.712757,0.000000,0.138355,Medium,Yes
LB_Acc_X_mean,1591.917559,0.000000,0.137882,Medium,Yes
LF_Acc_X_spec_centroid,1589.816277,0.000000,0.137843,Medium,Yes
LF_FreeAcc_X_spec_centroid,1589.816277,0.000000,0.137843,Medium,Yes
LF_FreeAcc_Z_rms,1581.832240,0.000000,0.137150,Medium,Yes
LB_Acc_Y_spec_centroid,1578.740220,0.000000,0.136739,Medium,Yes
LB_FreeAcc_Y_spec_centroid,1578.740220,0.000000,0.136739,Medium,Yes
RF_Acc_Z_mean,1561.182826,0.000000,0.135346,Medium,Yes
LF_Gyr_X_mean,1536.446780,0.000000,0.133210,Medium,Yes
RF_Acc_Y_rms,1496.695658,0.000000,0.129748,Medium,Yes
LB_Acc_Z_std,1470.806235,0.000000,0.127379,Medium,Yes
LB_FreeAcc_Z_std,1470.806235,0.000000,0.127379,Medium,Yes
LB_FreeAcc_Z_spec_power,1470.803985,0.000000,0.127379,Medium,Yes
