Feature,Sensor,Channel,Metric,Overall_Mean,Overall_Std,Overall_Min,Overall_Max,Overall_Median,healthy_Mean,healthy_Std,healthy_Median,healthy_N,neuro_Mean,neuro_Std,neuro_Median,neuro_N,ortho_Mean,ortho_Std,ortho_Median,ortho_N
HE_Acc_X_mean,HE,Acc,X_mean,9.389540,0.803300,0.000000,14.179558,9.524105,9.287457,0.426682,9.384932,2128,9.445176,0.922979,9.584454,7725,9.262565,0.487328,9.402423,1674
HE_Acc_X_std,HE,Acc,X_std,1.148517,0.545125,0.000000,3.853444,1.077990,1.600178,0.560840,1.617388,2128,1.044381,0.486670,0.986077,7725,1.054917,0.485351,1.011132,1674
HE_Acc_X_rms,HE,Acc,X_rms,9.475225,0.803174,0.000000,14.201111,9.598932,9.440929,0.427490,9.524324,2128,9.515046,0.924491,9.637854,7725,9.335060,0.487363,9.476459,1674
HE_Acc_X_dom_freq,HE,Acc,X_dom_freq,1.794921,0.749535,0.166667,8.333333,1.666667,1.730025,0.477047,1.833333,2136,1.841963,0.782291,1.833333,7725,1.660800,0.850606,1.666667,1676
HE_Acc_X_spec_centroid,HE,Acc,X_spec_centroid,5.579685,1.502268,0.000000,13.454407,5.481144,6.009583,1.373446,5.922147,2128,5.305511,1.493095,5.122296,7725,6.298428,1.325999,6.055056,1674
HE_Acc_X_spec_power,HE,Acc,X_spec_power,972.978464,913.104853,0.000000,8939.187850,699.569043,1730.745523,1119.806357,1574.814302,2128,799.192423,761.273703,585.360035,7725,811.669541,760.501927,615.484245,1674
HE_Acc_Y_mean,HE,Acc,Y_mean,-0.270483,0.867161,-3.397849,6.395177,-0.311799,-0.324638,0.720863,-0.357924,2128,-0.194441,0.937443,-0.251866,7725,-0.552551,0.593829,-0.505857,1674
HE_Acc_Y_std,HE,Acc,Y_std,1.054544,0.413527,0.000000,3.335944,1.029602,1.142090,0.435203,1.095909,2128,1.027526,0.399409,1.000225,7725,1.067937,0.433022,1.088409,1674
HE_Acc_Y_rms,HE,Acc,Y_rms,1.334437,0.572209,0.000000,6.431073,1.253232,1.366504,0.501255,1.303132,2128,1.324494,0.614471,1.229165,7725,1.339558,0.437400,1.282230,1674
HE_Acc_Y_dom_freq,HE,Acc,Y_dom_freq,0.900725,0.559527,0.166667,6.833333,0.833333,0.895677,0.591466,0.833333,2136,0.926559,0.565773,0.833333,7725,0.788087,0.467297,0.833333,1676
HE_Acc_Y_spec_centroid,HE,Acc,Y_spec_centroid,4.967879,1.624699,0.000000,13.447948,4.837820,5.077415,1.544639,4.884705,2128,4.837497,1.641095,4.706377,7725,5.430311,1.552565,5.223047,1674
HE_Acc_Y_spec_power,HE,Acc,Y_spec_power,772.405567,582.634279,0.000000,6699.435322,638.175307,899.205480,656.024150,723.019899,2128,731.627591,550.449688,602.277066,7725,799.394604,603.161375,713.157141,1674
HE_Acc_Z_mean,HE,Acc,Z_mean,1.050408,2.044440,-7.683808,7.872025,1.147653,1.791486,1.994760,2.058607,2128,0.609097,1.936791,0.672642,7725,2.144860,1.903194,2.358827,1674
