Feature,Sensor,Channel,Metric,Overall_Mean,Overall_Std,Overall_Min,Overall_Max,Overall_Median,healthy_Mean,healthy_Std,healthy_Median,healthy_N,neuro_Mean,neuro_Std,neuro_Median,neuro_N,ortho_Mean,ortho_Std,ortho_Median,ortho_N
LF_FreeAcc_Y_rms,LF,FreeAcc,Y_rms,2.623540,1.096287,0.231175,7.322402,2.488132,3.598692,1.035876,3.570227,372,2.388902,0.986075,2.298362,1486,2.573234,1.019608,2.369495,280
LF_FreeAcc_Y_dom_freq,LF,FreeAcc,Y_dom_freq,1.448203,1.187320,0.166667,11.166667,1.000000,1.567024,1.473169,1.000000,373,1.364653,0.988662,1.000000,1490,1.734524,1.604503,1.000000,280
LF_FreeAcc_Y_spec_centroid,LF,FreeAcc,Y_spec_centroid,5.862167,1.708846,2.838621,12.132268,5.802090,6.750960,1.426544,7.023286,372,5.315513,1.541580,4.914792,1486,7.582518,1.181855,7.346476,280
LF_FreeAcc_Y_spec_power,LF,FreeAcc,Y_spec_power,4651.250835,3995.773656,0.829882,32006.363464,3494.557506,8162.870190,4764.008934,7359.338281,372,3811.409206,3329.240514,3017.515500,1486,4442.973194,3588.394404,3278.612923,280
LF_FreeAcc_Z_mean,LF,FreeAcc,Z_mean,-0.092610,0.536695,-2.455297,2.664730,-0.109772,0.177108,0.674263,0.206543,372,-0.167322,0.497805,-0.183016,1486,-0.054448,0.393113,-0.086386,280
LF_FreeAcc_Z_std,LF,FreeAcc,Z_std,3.664758,1.747332,0.053610,9.991155,3.315831,5.542384,1.665767,5.799915,372,3.163121,1.446978,2.997684,1486,3.832462,1.575661,3.759248,280
LF_FreeAcc_Z_rms,LF,FreeAcc,Z_rms,3.709251,1.738262,0.092857,10.044500,3.355480,5.585523,1.667191,5.848976,372,3.211924,1.434657,3.037711,1486,3.855874,1.568304,3.770916,280
LF_FreeAcc_Z_dom_freq,LF,FreeAcc,Z_dom_freq,1.825712,1.236104,0.166667,10.166667,1.500000,2.650581,1.475520,3.333333,373,1.520134,0.992982,1.000000,1490,2.352976,1.370491,2.000000,280
LF_FreeAcc_Z_spec_centroid,LF,FreeAcc,Z_spec_centroid,5.425985,1.487233,2.196975,19.107356,5.221871,6.066854,1.245397,5.937566,372,5.087888,1.459908,4.655096,1486,6.368875,1.219189,6.040779,280
LF_FreeAcc_Z_spec_power,LF,FreeAcc,Z_spec_power,9922.382322,9455.106005,1.730211,60094.218207,6618.907448,20158.383362,10956.375418,20250.882587,372,7282.869951,7329.813597,5409.694135,1486,10331.393024,7885.906280,8507.602125,280
LF_Gyr_X_mean,LF,Gyr,X_mean,-0.005827,0.122557,-0.461674,0.905823,-0.016421,0.058256,0.166488,0.066380,372,-0.037731,0.093338,-0.032668,1486,0.078353,0.117521,0.066807,280
LF_Gyr_X_std,LF,Gyr,X_std,0.837308,0.320730,0.009402,2.323111,0.803304,1.042745,0.256210,1.052469,372,0.802583,0.319573,0.765841,1486,0.748659,0.294046,0.725519,280
LF_Gyr_X_rms,LF,Gyr,X_rms,0.845173,0.323547,0.023887,2.341137,0.809071,1.056869,0.258903,1.063472,372,0.808584,0.320295,0.771131,1486,0.758104,0.303566,0.731633,280
LF_Gyr_X_dom_freq,LF,Gyr,X_dom_freq,2.008011,1.185446,0.166667,10.000000,1.833333,1.894102,1.333513,1.833333,373,2.051007,1.171418,1.833333,1490,1.930952,1.030206,1.666667,280
