Feature,d_healthy_vs_neuro,d_healthy_vs_neuro_interp,d_healthy_vs_ortho,d_healthy_vs_ortho_interp,d_neuro_vs_ortho,d_neuro_vs_ortho_interp
HE_Acc_X_mean,-0.209608,Small,-0.083448,Negligible,0.162252,Negligible
HE_Acc_X_std,1.467111,Large,1.224155,Large,-0.277472,Small
HE_Acc_X_rms,-0.072999,Negligible,0.140845,Negligible,0.144073,Negligible
HE_Acc_X_dom_freq,-0.080151,Negligible,0.106628,Negligible,0.145744,Negligible
HE_Acc_X_spec_centroid,0.471589,Small,-0.253457,Small,-0.704286,Medium
HE_Acc_X_spec_power,1.445363,Large,1.140549,Large,-0.196212,Negligible
HE_Acc_Y_mean,-0.091840,Negligible,0.194385,Negligible,0.233399,Small
HE_Acc_Y_std,0.286288,Small,-0.067237,Negligible,-0.361611,Small
HE_Acc_Y_rms,0.029440,Negligible,-0.010281,Negligible,-0.037906,Negligible
HE_Acc_Y_dom_freq,0.061939,Negligible,0.325416,Small,0.248079,Small
HE_Acc_Y_spec_centroid,0.318834,Small,-0.044020,Negligible,-0.361760,Small
HE_Acc_Y_spec_power,0.284073,Small,-0.023286,Negligible,-0.316228,Small
HE_Acc_Z_mean,0.580518,Medium,-0.068832,Negligible,-0.666400,Medium
HE_Acc_Z_std,0.941404,Large,0.444208,Small,-0.465264,Small
HE_Acc_Z_rms,0.818337,Large,0.145035,Negligible,-0.660274,Medium
HE_Acc_Z_dom_freq,0.127844,Negligible,0.249628,Small,0.115583,Negligible
HE_Acc_Z_spec_centroid,0.348538,Small,-0.016334,Negligible,-0.365338,Small
HE_Acc_Z_spec_power,0.804537,Large,0.387363,Small,-0.359456,Small
HE_FreeAcc_X_mean,0.041309,Negligible,-0.656289,Medium,-1.093930,Large
HE_FreeAcc_X_std,0.551925,Medium,0.384423,Small,-0.215661,Small
HE_FreeAcc_X_rms,0.737073,Medium,0.255926,Small,-0.491667,Small
HE_FreeAcc_X_dom_freq,-0.861813,Large,0.696192,Medium,1.447433,Large
