Feature,Sensor,Channel,Metric,Overall_Mean,Overall_Std,Overall_Min,Overall_Max,Overall_Median,healthy_Mean,healthy_Std,healthy_Median,healthy_N,neuro_Mean,neuro_Std,neuro_Median,neuro_N,ortho_Mean,ortho_Std,ortho_Median,ortho_N
LB_Acc_X_spec_centroid,LB,Acc,X_spec_centroid,6.006403,1.521999,2.393140,16.673741,5.900854,6.512456,1.458417,6.406317,1482,5.697648,1.436206,5.532089,5285,6.775189,1.540539,6.453208,1147
LB_Acc_X_spec_power,LB,Acc,X_spec_power,999.770377,1083.306835,0.084037,15711.601346,638.781427,1967.045410,1474.517188,1667.648689,1482,756.781552,798.983507,516.978914,5285,869.599795,922.425869,657.705089,1147
LB_Acc_Y_mean,LB,Acc,Y_mean,0.109516,0.619235,-2.220249,2.479158,0.164172,0.189180,0.444714,0.172293,1482,0.033811,0.681585,0.084077,5285,0.355407,0.393656,0.346108,1147
LB_Acc_Y_std,LB,Acc,Y_std,0.894588,0.384099,0.014381,2.933497,0.855081,1.078798,0.452637,1.074241,1482,0.837576,0.336728,0.800436,5285,0.919268,0.414290,0.972074,1147
LB_Acc_Y_rms,LB,Acc,Y_rms,1.087040,0.401948,0.019458,3.402505,1.049749,1.188361,0.435776,1.167376,1482,1.061387,0.392426,1.017050,5285,1.074330,0.378977,1.106026,1147
LB_Acc_Y_dom_freq,LB,Acc,Y_dom_freq,1.815397,1.930583,0.166667,12.500000,0.833333,3.256860,2.738209,2.833333,1482,1.453101,1.406676,0.833333,5288,1.623220,1.896660,0.833333,1147
LB_Acc_Y_spec_centroid,LB,Acc,Y_spec_centroid,5.978298,1.553543,2.253798,13.276794,5.860572,6.764154,1.424507,6.737565,1482,5.587384,1.443361,5.408897,5285,6.764123,1.521645,6.607414,1147
LB_Acc_Y_spec_power,LB,Acc,Y_spec_power,570.581678,486.063873,0.124502,5180.509610,440.164793,823.874105,648.139790,694.710215,1482,490.573370,409.244179,385.703828,5285,611.963132,449.470923,568.852200,1147
LB_Acc_Z_mean,LB,Acc,Z_mean,1.941339,1.835646,-6.215057,7.213314,2.114925,1.970429,1.470621,1.977885,1482,1.903115,2.020142,2.161045,5285,2.079877,1.275962,1.955091,1147
LB_Acc_Z_std,LB,Acc,Z_std,1.007679,0.433701,0.025920,2.857539,0.973834,1.334971,0.484539,1.353037,1482,0.942906,0.369242,0.920318,5285,0.883247,0.439733,0.873297,1147
