Feature,d_healthy_vs_neuro,d_healthy_vs_neuro_interp,d_healthy_vs_ortho,d_healthy_vs_ortho_interp,d_neuro_vs_ortho,d_neuro_vs_ortho_interp
HE_Acc_X_mean,-0.192879,Negligible,0.060221,Negligible,0.220231,Small
HE_Acc_X_std,1.054722,Large,0.992785,Large,0.017775,Negligible
HE_Acc_X_rms,-0.095475,Negligible,0.233847,Small,0.218309,Small
HE_Acc_X_dom_freq,-0.152326,Negligible,0.098036,Negligible,0.223908,Small
HE_Acc_X_spec_centroid,0.459916,Small,-0.223929,Small,-0.670817,Medium
HE_Acc_X_spec_power,1.063294,Large,0.911810,Large,0.001162,Negligible
HE_Acc_Y_mean,-0.154315,Negligible,0.334608,Small,0.409852,Small
HE_Acc_Y_std,0.254151,Small,0.180757,Negligible,-0.057093,Negligible
HE_Acc_Y_rms,0.065643,Negligible,0.061914,Negligible,-0.015767,Negligible
HE_Acc_Y_dom_freq,-0.027889,Negligible,0.201182,Small,0.233723,Small
HE_Acc_Y_spec_centroid,0.166221,Negligible,-0.209780,Small,-0.370734,Small
HE_Acc_Y_spec_power,0.269301,Small,0.152295,Negligible,-0.101633,Negligible
HE_Acc_Z_mean,0.606410,Medium,-0.197925,Negligible,-0.812302,Large
HE_Acc_Z_std,0.824464,Large,0.526911,Medium,-0.232770,Small
HE_Acc_Z_rms,0.769866,Medium,0.014449,Negligible,-0.739784,Medium
HE_Acc_Z_dom_freq,-0.084250,Negligible,0.171391,Negligible,0.249844,Small
HE_Acc_Z_spec_centroid,0.241767,Small,-0.167796,Negligible,-0.403601,Small
HE_Acc_Z_spec_power,0.729048,Medium,0.449883,Small,-0.209330,Small
HE_FreeAcc_X_mean,0.038475,Negligible,-0.518147,Medium,-0.834310,Large
HE_FreeAcc_X_std,0.470180,Small,0.461823,Small,-0.019735,Negligible
HE_FreeAcc_X_rms,0.604166,Medium,0.374527,Small,-0.190899,Negligible
HE_FreeAcc_X_dom_freq,-0.914168,Large,0.539525,Medium,1.371386,Large
HE_FreeAcc_X_spec_centroid,-0.013939,Negligible,-0.125026,Negligible,-0.116177,Negligible
HE_FreeAcc_X_spec_power,0.420045,Small,0.451975,Small,0.007396,Negligible
HE_FreeAcc_Y_mean,-0.064943,Negligible,0.280808,Small,0.299129,Small
HE_FreeAcc_Y_std,0.900756,Large,0.714546,Medium,-0.012604,Negligible
HE_FreeAcc_Y_rms,0.647398,Medium,0.648905,Medium,0.076646,Negligible
HE_FreeAcc_Y_dom_freq,0.986017,Large,-0.187904,Negligible,-1.131292,Large
HE_FreeAcc_Y_spec_centroid,0.595211,Medium,-0.308475,Small,-0.885675,Large
HE_FreeAcc_Y_spec_power,1.010790,Large,0.669190,Medium,-0.103593,Negligible
HE_FreeAcc_Z_mean,0.192987,Negligible,0.312931,Small,0.139489,Negligible
HE_FreeAcc_Z_std,0.824464,Large,0.526911,Medium,-0.232770,Small
HE_FreeAcc_Z_rms,0.350736,Small,0.316067,Small,-0.012359,Negligible
HE_FreeAcc_Z_dom_freq,-0.084250,Negligible,0.171391,Negligible,0.249844,Small
HE_FreeAcc_Z_spec_centroid,0.241767,Small,-0.167796,Negligible,-0.403601,Small
HE_FreeAcc_Z_spec_power,0.729048,Medium,0.449883,Small,-0.209330,Small
HE_Gyr_X_mean,0.355921,Small,0.033182,Negligible,-0.342869,Small
HE_Gyr_X_std,0.540474,Medium,0.365696,Small,-0.123259,Negligible
HE_Gyr_X_rms,0.484501,Small,0.373176,Small,-0.064026,Negligible
HE_Gyr_X_dom_freq,-0.198633,Negligible,0.108300,Negligible,0.270663,Small
HE_Gyr_X_spec_centroid,-0.200863,Small,-0.121438,Negligible,0.068604,Negligible
HE_Gyr_X_spec_power,0.575829,Medium,0.355173,Small,-0.146085,Negligible
HE_Gyr_Y_mean,-0.116928,Negligible,0.058439,Negligible,0.215327,Small
