phase,single_sensor,single_bacc,single_bacc_std,full_model,full_bacc,full_bacc_std
pre_uturn,LF,0.7893316827361291,0.0595763669641182,SVM,0.8007512252149489,0.05079958792218404
uturn,HE,0.7180442928921018,0.0448253523308015,SVM,0.7818354419280464,0.07106894133118241
post_uturn,LF,0.7571018587148552,0.053204101054671,RF,0.7916275848749751,0.05468407309232259
gait_full,HE,0.7671651088308521,0.0289911497963876,SVM,0.7989169216359204,0.040350587656957676
