Feature,H_Statistic,p_value,eta_squared,Effect_Size,Significant
HE_FreeAcc_X_dom_freq,158.183900,0.000000,0.256881,Large,Yes
HE_FreeAcc_X_spec_power,158.025717,0.000000,0.256621,Large,Yes
HE_FreeAcc_X_std,158.025717,0.000000,0.256621,Large,Yes
HE_FreeAcc_X_rms,150.132479,0.000000,0.243639,Large,Yes
LF_Acc_Y_mean,107.026458,0.000000,0.172741,Large,Yes
RF_Acc_Y_mean,95.425560,0.000000,0.153660,Large,Yes
LF_Gyr_Z_mean,89.460920,0.000000,0.143850,Large,Yes
HE_Acc_Z_mean,88.194144,0.000000,0.141767,Large,Yes
RF_FreeAcc_Y_mean,82.524751,0.000000,0.132442,Medium,Yes
LB_Gyr_X_mean,76.005245,0.000000,0.121719,Medium,Yes
HE_FreeAcc_Y_dom_freq,75.004715,0.000000,0.120074,Medium,Yes
LF_Gyr_X_mean,74.133214,0.000000,0.118640,Medium,Yes
HE_Gyr_Z_spec_power,72.716066,0.000000,0.116309,Medium,Yes
HE_Gyr_Z_std,72.716066,0.000000,0.116309,Medium,Yes
RF_Acc_Y_spec_centroid,72.558127,0.000000,0.116050,Medium,Yes
RF_FreeAcc_Y_spec_centroid,72.558127,0.000000,0.116050,Medium,Yes
RF_Gyr_X_mean,70.599421,0.000000,0.112828,Medium,Yes
RF_Gyr_Z_mean,70.262591,0.000000,0.112274,Medium,Yes
HE_Gyr_Z_rms,68.443912,0.000000,0.109283,Medium,Yes
LF_FreeAcc_Y_spec_centroid,65.408892,0.000000,0.104291,Medium,Yes
LF_Acc_Y_spec_centroid,65.408892,0.000000,0.104291,Medium,Yes
HE_Gyr_X_mean,63.754260,0.000000,0.101570,Medium,Yes
HE_FreeAcc_Y_spec_power,54.955429,0.000000,0.087098,Medium,Yes
HE_FreeAcc_Y_std,54.955429,0.000000,0.087098,Medium,Yes
LB_Gyr_Z_mean,53.005978,0.000000,0.083891,Medium,Yes
RF_FreeAcc_Z_spec_centroid,50.763614,0.000000,0.080203,Medium,Yes
RF_Acc_Z_spec_centroid,50.763614,0.000000,0.080203,Medium,Yes
HE_Gyr_Z_mean,48.965920,0.000000,0.077247,Medium,Yes
LF_FreeAcc_Z_spec_centroid,47.592528,0.000000,0.074988,Medium,Yes
LF_Acc_Z_spec_centroid,47.592528,0.000000,0.074988,Medium,Yes
LB_Acc_Y_mean,46.852290,0.000000,0.073770,Medium,Yes
LF_Acc_Y_std,46.424451,0.000000,0.073067,Medium,Yes
LF_Acc_Y_spec_power,46.424451,0.000000,0.073067,Medium,Yes
LF_FreeAcc_Y_std,46.424451,0.000000,0.073067,Medium,Yes
LF_FreeAcc_Y_spec_power,46.424451,0.000000,0.073067,Medium,Yes
LF_Acc_X_spec_centroid,45.222164,0.000000,0.071089,Medium,Yes
LF_FreeAcc_X_spec_centroid,45.222164,0.000000,0.071089,Medium,Yes
LF_Gyr_Z_std,45.115697,0.000000,0.070914,Medium,Yes
LF_Gyr_Z_spec_power,45.115697,0.000000,0.070914,Medium,Yes
LF_Gyr_Z_rms,44.875794,0.000000,0.070519,Medium,Yes
HE_Acc_X_mean,43.024092,0.000000,0.067474,Medium,Yes
RF_Acc_Z_rms,42.825297,0.000000,0.067147,Medium,Yes
LF_Acc_Y_rms,42.406026,0.000000,0.066457,Medium,Yes
