Feature,d_healthy_vs_neuro,d_healthy_vs_neuro_interp,d_healthy_vs_ortho,d_healthy_vs_ortho_interp,d_neuro_vs_ortho,d_neuro_vs_ortho_interp
HE_Acc_X_mean,-0.399454,Small,-0.297431,Small,0.191625,Negligible
HE_Acc_X_std,0.591398,Medium,0.596224,Medium,-0.095038,Negligible
HE_Acc_X_rms,-0.382915,Small,-0.276750,Small,0.193080,Negligible
HE_Acc_X_dom_freq,0.145422,Negligible,0.311644,Small,0.215663,Small
HE_Acc_X_spec_centroid,0.457587,Small,0.013984,Negligible,-0.450621,Small
HE_Acc_X_spec_power,0.418942,Small,0.497474,Small,-0.017085,Negligible
HE_Acc_Y_mean,-0.337520,Small,0.237847,Small,0.564455,Medium
HE_Acc_Y_std,0.611241,Medium,0.096224,Negligible,-0.523046,Medium
HE_Acc_Y_rms,0.507603,Medium,0.270786,Small,-0.293435,Small
HE_Acc_Y_dom_freq,-0.430970,Small,-0.126084,Negligible,0.348859,Small
HE_Acc_Y_spec_centroid,0.239232,Small,0.249876,Small,-0.010388,Negligible
HE_Acc_Y_spec_power,0.584709,Medium,0.107952,Negligible,-0.441132,Small
HE_Acc_Z_mean,1.086601,Large,0.085834,Negligible,-1.009118,Large
HE_Acc_Z_std,0.089279,Negligible,0.022902,Negligible,-0.068848,Negligible
HE_Acc_Z_rms,0.652086,Medium,0.098768,Negligible,-0.555223,Medium
HE_Acc_Z_dom_freq,-0.281479,Small,-0.191971,Negligible,0.135468,Negligible
HE_Acc_Z_spec_centroid,0.322341,Small,0.027467,Negligible,-0.298589,Small
HE_Acc_Z_spec_power,0.010905,Negligible,-0.008875,Negligible,-0.018843,Negligible
HE_FreeAcc_X_mean,-0.068137,Negligible,-0.572243,Medium,-0.778720,Medium
HE_FreeAcc_X_std,1.721735,Large,0.039105,Negligible,-1.659104,Large
HE_FreeAcc_X_rms,1.498559,Large,0.075028,Negligible,-1.407334,Large
HE_FreeAcc_X_dom_freq,-0.928579,Large,0.792910,Medium,1.436285,Large
HE_FreeAcc_X_spec_centroid,0.112726,Negligible,0.402760,Small,0.292214,Small
HE_FreeAcc_X_spec_power,1.776254,Large,0.077282,Negligible,-1.461778,Large
HE_FreeAcc_Y_mean,-0.029860,Negligible,0.296412,Small,0.408638,Small
HE_FreeAcc_Y_std,-0.295578,Small,0.686209,Medium,0.763298,Medium
HE_FreeAcc_Y_rms,0.205824,Small,0.573168,Medium,0.507512,Medium
