Feature,Sensor,Channel,Metric,Overall_Mean,Overall_Std,Overall_Min,Overall_Max,Overall_Median,healthy_Mean,healthy_Std,healthy_Median,healthy_N,neuro_Mean,neuro_Std,neuro_Median,neuro_N,ortho_Mean,ortho_Std,ortho_Median,ortho_N
HE_Acc_X_mean,HE,Acc,X_mean,9.399696,0.955545,0.000000,14.217413,9.561314,9.041436,1.245859,9.329368,28,9.443665,0.992261,9.589653,496,9.264321,0.500542,9.390039,87
HE_Acc_X_std,HE,Acc,X_std,0.728937,0.310294,0.000000,2.792211,0.677568,0.902566,0.263787,0.821752,28,0.716199,0.317692,0.665605,496,0.745680,0.262928,0.700753,87
HE_Acc_X_rms,HE,Acc,X_rms,9.434137,0.944373,0.000000,14.235367,9.591834,9.096035,1.199830,9.358456,28,9.477089,0.982751,9.622399,496,9.298076,0.498329,9.428050,87
HE_Acc_X_dom_freq,HE,Acc,X_dom_freq,2.039825,1.056016,0.333333,6.000000,2.000000,2.214286,1.169623,1.833333,28,2.065188,1.016809,2.000000,496,1.839080,1.214535,1.666667,87
HE_Acc_X_spec_centroid,HE,Acc,X_spec_centroid,6.093034,1.738442,0.000000,11.635492,5.938874,6.742546,1.622415,6.558673,28,5.946283,1.746328,5.786906,496,6.720644,1.548124,6.436669,87
HE_Acc_X_spec_power,HE,Acc,X_spec_power,189.504531,188.648904,0.000000,2354.623739,138.652036,266.290373,162.779481,204.120399,28,185.334070,194.764464,133.800381,496,188.568269,154.120955,148.305042,87
HE_Acc_Y_mean,HE,Acc,Y_mean,-0.169165,0.987480,-3.841984,5.810659,-0.203281,-0.417146,1.208346,-0.249344,28,-0.076652,0.996778,-0.135922,496,-0.616781,0.683574,-0.590277,87
HE_Acc_Y_std,HE,Acc,Y_std,1.083982,0.415070,0.000000,2.944855,1.046923,1.292712,0.440471,1.249503,28,1.042353,0.407841,0.997940,496,1.254139,0.387604,1.242241,87
HE_Acc_Y_rms,HE,Acc,Y_rms,1.396512,0.632111,0.000000,5.864932,1.296174,1.686047,0.787099,1.417633,28,1.355532,0.642886,1.246152,496,1.536962,0.451427,1.477866,87
HE_Acc_Y_dom_freq,HE,Acc,Y_dom_freq,0.807965,0.380588,0.333333,4.000000,0.666667,0.666667,0.222222,0.666667,28,0.834677,0.396956,0.666667,496,0.701149,0.287709,0.666667,87
