Sensor_Type,count,mean,std,min,25%,50%,75%,max
Across_HE_vs_LB,100.0000,0.1636,0.2231,0.0006,0.0280,0.0653,0.1661,0.9220
Across_HE_vs_LF,100.0000,0.1773,0.2329,0.0014,0.0293,0.0697,0.2204,0.8377
Across_HE_vs_RF,100.0000,0.1724,0.2207,0.0006,0.0316,0.0793,0.1962,0.8433
Across_LB_vs_LF,100.0000,0.2374,0.2514,0.0008,0.0406,0.1293,0.3982,0.8629
Across_LB_vs_RF,100.0000,0.2245,0.2442,0.0009,0.0339,0.1149,0.3595,0.8631
Across_LF_vs_RF,100.0000,0.2938,0.3189,0.0001,0.0343,0.1033,0.5595,0.9406
Within_HE,1431.0000,0.1606,0.1991,0.0001,0.0295,0.0797,0.2058,1.0000
Within_LB,1431.0000,0.2301,0.2580,0.0002,0.0398,0.1010,0.3988,1.0000
Within_LF,1431.0000,0.2847,0.3075,0.0003,0.0508,0.1287,0.5876,1.0000
Within_RF,1431.0000,0.2790,0.3092,0.0003,0.0393,0.1115,0.5593,1.0000
