Feature,H_Statistic,p_value,eta_squared,Effect_Size,Significant
HE_FreeAcc_X_dom_freq,1786.592298,0.000000,0.292604,Large,Yes
HE_FreeAcc_Y_dom_freq,1351.710313,0.000000,0.221300,Large,Yes
LF_Acc_Y_mean,1277.309009,0.000000,0.209307,Large,Yes
RF_Acc_Y_spec_centroid,1236.999720,0.000000,0.202692,Large,Yes
RF_FreeAcc_Y_spec_centroid,1236.999720,0.000000,0.202692,Large,Yes
LF_FreeAcc_Y_spec_centroid,1163.560215,0.000000,0.190638,Large,Yes
LF_Acc_Y_spec_centroid,1163.560215,0.000000,0.190638,Large,Yes
RF_Acc_Z_spec_centroid,1027.454934,0.000000,0.168300,Large,Yes
RF_FreeAcc_Z_spec_centroid,1027.454934,0.000000,0.168300,Large,Yes
LF_Acc_Z_rms,1008.649916,0.000000,0.165214,Large,Yes
RF_Acc_Z_rms,974.080571,0.000000,0.159541,Large,Yes
LB_Acc_X_rms,967.184787,0.000000,0.158305,Large,Yes
RF_Acc_X_spec_centroid,940.569773,0.000000,0.154041,Large,Yes
RF_FreeAcc_X_spec_centroid,940.569773,0.000000,0.154041,Large,Yes
RF_Acc_Y_mean,918.430913,0.000000,0.150407,Large,Yes
LF_Acc_X_spec_centroid,908.566520,0.000000,0.148788,Large,Yes
LF_FreeAcc_X_spec_centroid,908.566520,0.000000,0.148788,Large,Yes
LF_Acc_Z_spec_centroid,886.820049,0.000000,0.145219,Large,Yes
LF_FreeAcc_Z_spec_centroid,886.820049,0.000000,0.145219,Large,Yes
LB_Acc_X_mean,859.162075,0.000000,0.140588,Large,Yes
RF_Acc_Z_mean,831.889979,0.000000,0.136204,Medium,Yes
LB_Acc_Y_spec_centroid,802.542524,0.000000,0.131301,Medium,Yes
LB_FreeAcc_Y_spec_centroid,802.542524,0.000000,0.131301,Medium,Yes
RF_FreeAcc_X_std,769.742286,0.000000,0.126004,Medium,Yes
RF_Acc_X_std,769.742286,0.000000,0.126004,Medium,Yes
RF_FreeAcc_X_spec_power,769.739427,0.000000,0.126004,Medium,Yes
RF_Acc_X_spec_power,769.739427,0.000000,0.126004,Medium,Yes
LB_Acc_X_spec_power,769.782839,0.000000,0.125928,Medium,Yes
LB_FreeAcc_X_spec_power,769.782839,0.000000,0.125928,Medium,Yes
LB_FreeAcc_X_std,769.781862,0.000000,0.125928,Medium,Yes
LB_Acc_X_std,769.781862,0.000000,0.125928,Medium,Yes
LF_Gyr_X_mean,767.923806,0.000000,0.125706,Medium,Yes
HE_FreeAcc_Y_spec_centroid,763.198390,0.000000,0.124848,Medium,Yes
LF_FreeAcc_X_spec_power,755.841530,0.000000,0.123723,Medium,Yes
LF_Acc_X_spec_power,755.841530,0.000000,0.123723,Medium,Yes
LF_Acc_X_std,755.841393,0.000000,0.123723,Medium,Yes
LF_FreeAcc_X_std,755.841393,0.000000,0.123723,Medium,Yes
LB_FreeAcc_X_rms,751.979105,0.000000,0.123008,Medium,Yes
HE_Acc_Z_rms,724.935096,0.000000,0.118572,Medium,Yes
LF_FreeAcc_X_rms,714.151390,0.000000,0.116880,Medium,Yes
HE_Acc_X_std,713.882735,0.000000,0.116760,Medium,Yes
HE_Acc_X_spec_power,713.882682,0.000000,0.116760,Medium,Yes
RF_FreeAcc_X_rms,712.312018,0.000000,0.116578,Medium,Yes
RF_Acc_Y_rms,674.726562,0.000000,0.110410,Medium,Yes
LF_Acc_Z_mean,667.506240,0.000000,0.109225,Medium,Yes
RF_FreeAcc_Y_std,651.187221,0.000000,0.106546,Medium,Yes
RF_Acc_Y_std,651.187221,0.000000,0.106546,Medium,Yes
RF_Acc_Y_spec_power,651.184921,0.000000,0.106546,Medium,Yes
RF_FreeAcc_Y_spec_power,651.184921,0.000000,0.106546,Medium,Yes
HE_Acc_Z_mean,643.596013,0.000000,0.105231,Medium,Yes
RF_FreeAcc_Y_rms,634.973462,0.000000,0.103885,Medium,Yes
LF_Acc_Z_std,615.213995,0.000000,0.100642,Medium,Yes
LF_FreeAcc_Z_std,615.213995,0.000000,0.100642,Medium,Yes
LF_Acc_Z_spec_power,615.213758,0.000000,0.100642,Medium,Yes
LF_FreeAcc_Z_spec_power,615.213758,0.000000,0.100642,Medium,Yes
LB_Acc_Z_std,610.588997,0.000000,0.099818,Medium,Yes
LB_FreeAcc_Z_std,610.588997,0.000000,0.099818,Medium,Yes
LB_Acc_Z_spec_power,610.588844,0.000000,0.099818,Medium,Yes
LB_FreeAcc_Z_spec_power,610.588844,0.000000,0.099818,Medium,Yes
LF_FreeAcc_Z_rms,608.326484,0.000000,0.099512,Medium,Yes
LF_Gyr_Y_rms,557.146361,0.000000,0.091112,Medium,Yes
LF_Gyr_Y_spec_power,556.949948,0.000000,0.091080,Medium,Yes
LF_Gyr_Y_std,556.949483,0.000000,0.091080,Medium,Yes
LF_Acc_X_rms,522.048332,0.000000,0.085352,Medium,Yes
LB_FreeAcc_X_spec_centroid,506.872647,0.000000,0.082807,Medium,Yes
LB_Acc_X_spec_centroid,506.872647,0.000000,0.082807,Medium,Yes
HE_Acc_X_spec_centroid,504.360110,0.000000,0.082395,Medium,Yes
RF_FreeAcc_X_mean,503.471864,0.000000,0.082303,Medium,Yes
HE_Acc_X_mean,494.083502,0.000000,0.080709,Medium,Yes
RF_Acc_X_rms,491.297358,0.000000,0.080305,Medium,Yes
RF_FreeAcc_Z_mean,485.098990,0.000000,0.079288,Medium,Yes
RF_FreeAcc_Z_spec_power,476.941783,0.000000,0.077949,Medium,Yes
RF_Acc_Z_spec_power,476.941783,0.000000,0.077949,Medium,Yes
RF_Acc_Z_std,476.940994,0.000000,0.077949,Medium,Yes
RF_FreeAcc_Z_std,476.940994,0.000000,0.077949,Medium,Yes
LB_Gyr_Y_std,473.791465,0.000000,0.077381,Medium,Yes
LB_Gyr_Y_spec_power,473.791097,0.000000,0.077381,Medium,Yes
RF_FreeAcc_Z_rms,472.534211,0.000000,0.077225,Medium,Yes
LF_Acc_Y_std,467.373278,0.000000,0.076378,Medium,Yes
LF_FreeAcc_Y_std,467.373278,0.000000,0.076378,Medium,Yes
LF_Acc_Y_spec_power,467.372487,0.000000,0.076378,Medium,Yes
LF_FreeAcc_Y_spec_power,467.372487,0.000000,0.076378,Medium,Yes
LB_Gyr_Y_rms,466.965789,0.000000,0.076261,Medium,Yes
HE_Gyr_Z_std,461.102841,0.000000,0.075300,Medium,Yes
HE_Gyr_Z_spec_power,461.100679,0.000000,0.075299,Medium,Yes
HE_Acc_Z_spec_power,458.606481,0.000000,0.074890,Medium,Yes
HE_FreeAcc_Z_spec_power,458.606481,0.000000,0.074890,Medium,Yes
HE_FreeAcc_Z_std,458.605051,0.000000,0.074890,Medium,Yes
HE_Acc_Z_std,458.605051,0.000000,0.074890,Medium,Yes
LF_FreeAcc_Y_rms,457.217921,0.000000,0.074712,Medium,Yes
RF_Gyr_Y_rms,451.850127,0.000000,0.073831,Medium,Yes
HE_Gyr_Y_std,451.566926,0.000000,0.073736,Medium,Yes
HE_Gyr_Y_spec_power,451.566171,0.000000,0.073736,Medium,Yes
RF_Gyr_Y_std,451.211969,0.000000,0.073726,Medium,Yes
RF_Gyr_Y_spec_power,451.209567,0.000000,0.073726,Medium,Yes
LF_Acc_Y_rms,447.671357,0.000000,0.073145,Medium,Yes
HE_Gyr_Y_rms,439.664751,0.000000,0.071784,Medium,Yes
HE_Gyr_Z_rms,436.299461,0.000000,0.071232,Medium,Yes
LB_FreeAcc_Z_spec_centroid,436.173195,0.000000,0.071211,Medium,Yes
