phase,sensor,win_s,bacc_ov0,bacc_ov25,bacc_ov50
pre_uturn,RF,3.0,0.8489417989417989,0.8229885646014677,0.847365431322389
pre_uturn,RF,4.0,0.81005291005291,0.8995039682539684,0.8340647370059134
post_uturn,RF,4.0,0.8069444444444445,0.889740328563858,0.8200622328768782
gait_full,RF,3.0,0.864033160110866,0.7864741067938869,0.89062355740973
pre_uturn,ALL,3.0,0.8518518518518517,0.8359641577060932,0.8402017123856205
pre_uturn,ALL,4.0,0.8417989417989418,0.8732539682539683,0.8104232804232805
post_uturn,ALL,4.0,0.797037037037037,0.8549019607843137,0.8101176855181432
gait_full,ALL,3.0,0.8118870263796637,0.8359696635451597,0.8427885888794302
