phase,sensor,win_s,overlap,model,acc_mean,acc_std,bacc_mean,bacc_std,macro_f1_mean,macro_f1_std,auc_macro_ovr_mean,auc_macro_ovr_std,LR_acc_mean,LR_acc_std,LR_bacc_mean,LR_bacc_std,LR_f1_mean,LR_f1_std,LR_auc_mean,LR_auc_std,SVM_acc_mean,SVM_acc_std,SVM_bacc_mean,SVM_bacc_std,SVM_f1_mean,SVM_f1_std,SVM_auc_mean,SVM_auc_std,RF_acc_mean,RF_acc_std,RF_bacc_mean,RF_bacc_std,RF_f1_mean,RF_f1_std,RF_auc_mean,RF_auc_std
pre_uturn,RF,1.0,0.5,RF,0.8568818731249387,0.13148607871537965,0.841004272108783,0.1747114610532467,0.7737567635163404,0.2552314954612263,0.4865040460067272,0.07841735776136949,0.8042125103374367,0.15919657953385777,0.7459571916252813,0.2072729164079325,0.634200515893607,0.22114631182432334,0.4016061883431648,0.03943990235692765,0.8655344315838602,0.10141480204786117,0.8235674686350787,0.16281637644044697,0.7048165118388054,0.2291832198038692,0.4511873099353932,0.050953904473523305,0.8568818731249387,0.13148607871537965,0.841004272108783,0.1747114610532467,0.7737567635163404,0.2552314954612263,0.4865040460067272,0.07841735776136949
pre_uturn,ALL,1.0,0.5,RF,0.8149312195057294,0.16161900070356872,0.7988413184388007,0.1660510620018042,0.7140441617837215,0.15664259585194898,0.4534137705507469,0.06738518687335052,0.754338571123914,0.15062691955378898,0.696659931590762,0.1774670532831396,0.5751224293061357,0.21969417133832614,0.45396515933727893,0.09022174411449667,0.7429215967169054,0.17744186005514914,0.7076581366238135,0.19220778311160183,0.602402412840748,0.16849351310763705,0.457334316118557,0.05075253650486331,0.8149312195057294,0.16161900070356872,0.7988413184388007,0.1660510620018042,0.7140441617837215,0.15664259585194898,0.4534137705507469,0.06738518687335052
pre_uturn,RF,1.28,0.5,SVM,0.8598695744172857,0.11111401982248995,0.870291434416051,0.10323877394321207,0.7304928858340294,0.12084614101756384,0.43410943032879956,0.0022272624359291615,0.8108021781686784,0.10947175316066943,0.8192819633569766,0.09813404206088051,0.6835070379278932,0.09154504770868505,0.4423262784880936,0.008062953801230732,0.8598695744172857,0.11111401982248995,0.870291434416051,0.10323877394321207,0.7304928858340294,0.12084614101756384,0.43410943032879956,0.0022272624359291615,0.8365535467677233,0.13359583557519097,0.8395995518071139,0.11526683084961528,0.7286320882537168,0.15135755774353363,0.4740384902733473,0.0069146095656221485
pre_uturn,ALL,1.28,0.5,RF,0.7924243035105255,0.16554689225835637,0.8005680987662245,0.14898102080573256,0.6484760386076582,0.19597526639879106,0.4754741197918855,0.029376778171831125,0.7948026640451042,0.13375205504016693,0.7940687468612502,0.14142475738053167,0.6503776856025444,0.10680281302575277,0.44963715650252983,0.09315161776113196,0.7636568641482014,0.12569932417821186,0.7712702907886781,0.11129006062880042,0.6356561842049979,0.06448970812441063,0.4456221690392707,0.03516531420323499,0.7924243035105255,0.16554689225835637,0.8005680987662245,0.14898102080573256,0.6484760386076582,0.19597526639879106,0.4754741197918855,0.029376778171831125
pre_uturn,RF,2.56,0.5,SVM,0.8693847553972442,0.12751616492378365,0.873036741036741,0.11368462002659126,0.7374199018582324,0.1274155482637086,0.4565375768847589,0.022887108310677307,0.8584633336729679,0.12868958411522058,0.8507420357420358,0.10512077109850308,0.7255613288410097,0.10762203397265199,0.41069071934336043,0.006575986572501219,0.8693847553972442,0.12751616492378365,0.873036741036741,0.11368462002659126,0.7374199018582324,0.1274155482637086,0.4565375768847589,0.022887108310677307,0.8561836438910481,0.14237057281906282,0.866926406926407,0.12998594002648794,0.8124125211769766,0.18001474710169998,0.47025826235268964,0.04575504883848716
pre_uturn,ALL,2.56,0.5,LR,0.8524815297696655,0.1490316944672139,0.848989898989899,0.13504563199959932,0.792425190049029,0.16509323236381385,0.4575932022035918,0.04626114801439471,0.8524815297696655,0.1490316944672139,0.848989898989899,0.13504563199959932,0.792425190049029,0.16509323236381385,0.4575932022035918,0.04626114801439471,0.808558306595773,0.14152978930638418,0.8078116328116328,0.11859064685344067,0.6949385086504053,0.13192986599670192,0.408970245705949,0.014680170506782914,0.8542010581350455,0.16403815994283705,0.8442166352166351,0.15543520702992847,0.690261546588258,0.19757444372352603,0.46514022333528915,0.04655416958440026
uturn,RF,1.0,0.5,LR,0.8054592907623753,0.08858684343303552,0.8223757192837823,0.08520009873050827,0.6744337646330251,0.15623286751632554,0.45366323878900744,0.02414727781524595,0.8054592907623753,0.08858684343303552,0.8223757192837823,0.08520009873050827,0.6744337646330251,0.15623286751632554,0.45366323878900744,0.02414727781524595,0.750817989797545,0.08585584913345067,0.7638342640543474,0.05365041370754069,0.6197418103634075,0.17964058956482784,0.37758703832872625,0.014816106504086046,0.7809934204033917,0.1298618062180394,0.7678155504626093,0.07367857127442685,0.6307799282009185,0.13846811967662198,0.42773088819760613,0.0075547017810104755
uturn,ALL,1.0,0.5,RF,0.771949843623086,0.17899649151758676,0.7971307813049636,0.15347596973013358,0.661391127646577,0.2022249177530467,0.48154493514437335,0.03154967133836775,0.7600564209423607,0.14626249838375244,0.7539685369097133,0.12675200894400313,0.6705159118062344,0.19644171972332847,0.4914692046902147,0.10227537777260257,0.7550102764683109,0.1450523848478177,0.7734486879836188,0.1396484098849294,0.6337200846474862,0.17132298266160828,0.45610565830439853,0.0282947271686593,0.771949843623086,0.17899649151758676,0.7971307813049636,0.15347596973013358,0.661391127646577,0.2022249177530467,0.48154493514437335,0.03154967133836775
uturn,RF,1.28,0.5,LR,0.6789898989898989,0.07136610733864542,0.70856820514894,0.08431843665191924,0.5695141058426604,0.09177169769165315,0.38736725533125127,0.08882322085922492,0.6789898989898989,0.07136610733864542,0.70856820514894,0.08431843665191924,0.5695141058426604,0.09177169769165315,0.38736725533125127,0.08882322085922492,0.660995670995671,0.07920565911793805,0.6301601453198227,0.05892995547130577,0.5204428378413233,0.058224432784932896,0.36237451726001957,0.08802230813680584,0.6677200577200577,0.08871785516927344,0.6827157428060773,0.11325809741770136,0.5627403509980643,0.1387986427291185,0.38155426140006315,0.14754626770046603
uturn,ALL,1.28,0.5,RF,0.7252236652236652,0.1585520816647781,0.725343408681302,0.13633668794803894,0.5965802017131805,0.1815686791797241,0.4679422383996954,0.1897958568383998,0.6654112554112553,0.1572022594128291,0.7078863483377847,0.14410897894114966,0.5602804602804603,0.12115219909409823,0.4846548772765812,0.1806890380673342,0.6632900432900433,0.13350724994155316,0.6259450505676742,0.0685753459765766,0.5212221889218089,0.07729009864408398,0.40863378019084223,0.1323715108144488,0.7252236652236652,0.1585520816647781,0.725343408681302,0.13633668794803894,0.5965802017131805,0.1815686791797241,0.4679422383996954,0.1897958568383998
