phase,sensor,win_s,overlap,model,acc_mean,acc_std,bacc_mean,bacc_std,macro_f1_mean,macro_f1_std,auc_macro_ovr_mean,auc_macro_ovr_std,LR_acc_mean,LR_acc_std,LR_bacc_mean,LR_bacc_std,LR_f1_mean,LR_f1_std,LR_auc_mean,LR_auc_std,SVM_acc_mean,SVM_acc_std,SVM_bacc_mean,SVM_bacc_std,SVM_f1_mean,SVM_f1_std,SVM_auc_mean,SVM_auc_std,RF_acc_mean,RF_acc_std,RF_bacc_mean,RF_bacc_std,RF_f1_mean,RF_f1_std,RF_auc_mean,RF_auc_std
pre_uturn,RF,3.0,0.5,LR,0.8711159399639022,0.1190681223472856,0.847365431322389,0.17758694477439668,0.7706183241107242,0.22383085327700838,0.45581788912088816,0.05502913467572548,0.8711159399639022,0.1190681223472856,0.847365431322389,0.17758694477439668,0.7706183241107242,0.22383085327700838,0.45581788912088816,0.05502913467572548,0.7287482210904535,0.2538648967048574,0.7533054323057992,0.2720238729453729,0.6671888053467001,0.27420886949124285,0.497154738200563,0.08668507917160019,0.861459308716362,0.1618367217473712,0.845975606497739,0.21931359169732684,0.7484375417848232,0.2574451136459983,0.49348854536327086,0.08012646049408668
pre_uturn,ALL,3.0,0.5,RF,0.8500489791055852,0.1288169568043269,0.8402017123856205,0.12229705947394845,0.7638368820852477,0.1719706061663597,0.4418295429024301,0.06774998614113635,0.7963822577674138,0.1978380506210838,0.7348221127531472,0.225926539543032,0.6607530473911752,0.22410380722687753,0.4648893218977504,0.10918466690382668,0.7423302622185529,0.24653518594405782,0.738682722130998,0.24435638362467063,0.6740192341712099,0.23649755415258183,0.4231683026257553,0.042396860678536444,0.8500489791055852,0.1288169568043269,0.8402017123856205,0.12229705947394845,0.7638368820852477,0.1719706061663597,0.4418295429024301,0.06774998614113635
pre_uturn,RF,4.0,0.5,LR,0.8484445799689826,0.1348186452897608,0.8340647370059134,0.13231807215738509,0.7723470782328474,0.17538170684047075,0.48960247408305674,0.045450030137309805,0.8484445799689826,0.1348186452897608,0.8340647370059134,0.13231807215738509,0.7723470782328474,0.17538170684047075,0.48960247408305674,0.045450030137309805,0.8170789433501298,0.18437230521846115,0.8050225645813882,0.2036072889431385,0.7350660300253796,0.21888683467411355,0.5191947188205973,0.08383673933281213,0.8417719106252901,0.12009740885651442,0.8092203548085901,0.12535237239332656,0.7420870820857102,0.15228814421630069,0.5125385355592296,0.07373560636771001
pre_uturn,ALL,4.0,0.5,LR,0.8227354217603349,0.17638766833578035,0.8104232804232805,0.15960829407077562,0.7647803716006482,0.20159427841468094,0.47859413069842754,0.003967005492550801,0.8227354217603349,0.17638766833578035,0.8104232804232805,0.15960829407077562,0.7647803716006482,0.20159427841468094,0.47859413069842754,0.003967005492550801,0.7686541992851978,0.15981924854043825,0.7204960317460317,0.12445091673118787,0.6279584968888874,0.1178202198839355,0.43614986861387905,0.05926662944250424,0.8308230172177486,0.19123527802697132,0.7991269841269841,0.19029660846623508,0.7267291773366498,0.24031445874758997,0.5000191212894567,0.064990872701886
pre_uturn,RF,5.0,0.5,LR,0.8594736842105263,0.12813072349068683,0.8563492063492063,0.12910920258833497,0.8151524660949949,0.1735150164340888,0.42950191570881224,0.007279693486590022,0.8594736842105263,0.12813072349068683,0.8563492063492063,0.12910920258833497,0.8151524660949949,0.1735150164340888,0.42950191570881224,0.007279693486590022,0.7963115104835258,0.12473194042139783,0.7526190476190476,0.13037622169580415,0.6554608103553258,0.1835360011129046,0.46885700602079916,0.02479378762999454,0.8477055103884371,0.11440984388945616,0.7783333333333333,0.1837570860311696,0.6626839826839828,0.26955022230999115,0.4300019157088123,0.00777969348659005
pre_uturn,ALL,5.0,0.5,LR,0.9053658536585367,0.06453334221926448,0.8625132275132275,0.07612907211114125,0.781986531986532,0.17152361825277535,0.41116858237547893,0.05561302681992336,0.9053658536585367,0.06453334221926448,0.8625132275132275,0.07612907211114125,0.781986531986532,0.17152361825277535,0.41116858237547893,0.05561302681992336,0.8440650406504064,0.10155359298347669,0.7705820105820106,0.14088889047849543,0.7074224761724761,0.21071071084250786,0.3782088122605364,0.022653256704980806,0.8840650406504065,0.1068183093764517,0.8251190476190475,0.16541811245277116,0.7609420608240434,0.24302669728747542,0.3961685823754789,0.04061302681992335
pre_uturn,RF,6.0,0.5,LR,0.7896106821106821,0.21772034970397272,0.7795648795648795,0.1591948499839589,0.719951909414825,0.20465261897718007,0.6052156177156177,0.041540404040404044,0.7896106821106821,0.21772034970397272,0.7795648795648795,0.1591948499839589,0.719951909414825,0.20465261897718007,0.6052156177156177,0.041540404040404044,0.7982593307593306,0.20481154667955512,0.7776223776223775,0.14042310938274932,0.6922222222222223,0.21538366571490544,0.6218240093240094,0.03891802641802644,0.7478088803088803,0.27319059946473795,0.7282051282051282,0.24411549200844934,0.6544347826086957,0.30123004291133204,0.5451048951048951,0.01540404040404042
pre_uturn,ALL,6.0,0.5,LR,0.8073922136422137,0.22532640733730938,0.8282051282051281,0.1435897435897436,0.7973612647338137,0.19103121859779512,0.5788947163947163,0.025903263403263432,0.8073922136422137,0.22532640733730938,0.8282051282051281,0.1435897435897436,0.7973612647338137,0.19103121859779512,0.5788947163947163,0.025903263403263432,0.8090701415701416,0.21080738123484138,0.7897435897435897,0.15160764614455885,0.7415007215007214,0.19736811952606947,0.4567363192363192,0.09687673437673436,0.820725546975547,0.21847292670252974,0.8282051282051281,0.1435897435897436,0.7966233347972478,0.1908564033164927,0.45010683760683756,0.06378205128205128
uturn,RF,3.0,0.5,SVM,0.6,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565,,,0.55,0.45825756949558405,0.55,0.45825756949558405,0.48571428571428565,0.44812534689594635,,,0.6,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565,,,0.6,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565,,
uturn,ALL,3.0,0.5,LR,0.6,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565,,,0.6,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565,,,0.6,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565,,,0.6,0.48989794855663565,0.6,0.48989794855663565,0.6,0.48989794855663565,,
