Sensor_Type,count,mean,std,min,25%,50%,75%,max
Across_HE_vs_LB,100.0000,0.1580,0.2068,0.0005,0.0275,0.0743,0.1818,0.8998
Across_HE_vs_LF,100.0000,0.1585,0.2161,0.0000,0.0267,0.0644,0.1726,0.7875
Across_HE_vs_RF,100.0000,0.1575,0.1994,0.0014,0.0357,0.0736,0.2009,0.7981
Across_LB_vs_LF,100.0000,0.2325,0.2132,0.0015,0.0815,0.1717,0.3211,0.8088
Across_LB_vs_RF,100.0000,0.2257,0.2083,0.0104,0.0704,0.1582,0.3043,0.8131
Across_LF_vs_RF,100.0000,0.3011,0.2754,0.0063,0.0700,0.1790,0.5170,0.9252
Within_HE,1431.0000,0.1637,0.1935,0.0000,0.0369,0.0882,0.2131,1.0000
Within_LB,1431.0000,0.2237,0.2314,0.0000,0.0515,0.1436,0.3266,1.0000
Within_LF,1431.0000,0.2815,0.2780,0.0013,0.0652,0.1657,0.4733,1.0000
Within_RF,1431.0000,0.2909,0.2713,0.0002,0.0743,0.1908,0.4729,1.0000
