Feature,H_Statistic,p_value,eta_squared,Effect_Size,Significant
HE_FreeAcc_Y_dom_freq,979.095183,0.000000,0.271340,Large,Yes
HE_FreeAcc_X_dom_freq,950.608286,0.000000,0.263429,Large,Yes
RF_FreeAcc_X_std,829.950942,0.000000,0.230820,Large,Yes
RF_Acc_X_std,829.950942,0.000000,0.230820,Large,Yes
RF_FreeAcc_X_spec_power,829.949993,0.000000,0.230820,Large,Yes
RF_Acc_X_spec_power,829.949993,0.000000,0.230820,Large,Yes
LF_FreeAcc_X_spec_power,813.973332,0.000000,0.226492,Large,Yes
LF_Acc_X_spec_power,813.973332,0.000000,0.226492,Large,Yes
LF_FreeAcc_X_std,813.972696,0.000000,0.226492,Large,Yes
LF_Acc_X_std,813.972696,0.000000,0.226492,Large,Yes
LF_FreeAcc_X_rms,810.888536,0.000000,0.225631,Large,Yes
RF_FreeAcc_X_rms,809.421346,0.000000,0.225097,Large,Yes
LF_Acc_Y_spec_centroid,764.571423,0.000000,0.212712,Large,Yes
LF_FreeAcc_Y_spec_centroid,764.571423,0.000000,0.212712,Large,Yes
LB_Acc_X_std,755.884704,0.000000,0.209645,Large,Yes
LB_FreeAcc_X_std,755.884704,0.000000,0.209645,Large,Yes
LB_FreeAcc_X_spec_power,755.884017,0.000000,0.209645,Large,Yes
LB_Acc_X_spec_power,755.884017,0.000000,0.209645,Large,Yes
RF_FreeAcc_Y_spec_centroid,749.282806,0.000000,0.208331,Large,Yes
RF_Acc_Y_spec_centroid,749.282806,0.000000,0.208331,Large,Yes
LB_FreeAcc_X_rms,744.077985,0.000000,0.206362,Large,Yes
RF_FreeAcc_Y_spec_power,732.175107,0.000000,0.203562,Large,Yes
RF_FreeAcc_Y_std,732.175107,0.000000,0.203562,Large,Yes
RF_Acc_Y_std,732.175107,0.000000,0.203562,Large,Yes
RF_Acc_Y_spec_power,732.175107,0.000000,0.203562,Large,Yes
RF_FreeAcc_Y_rms,726.342681,0.000000,0.201936,Large,Yes
RF_FreeAcc_X_mean,687.692620,0.000000,0.191160,Large,Yes
LF_Gyr_Y_std,669.216823,0.000000,0.186113,Large,Yes
LF_Gyr_Y_spec_power,669.216823,0.000000,0.186113,Large,Yes
LF_Gyr_Y_rms,668.940546,0.000000,0.186036,Large,Yes
LF_Acc_X_rms,665.701491,0.000000,0.185133,Large,Yes
LF_FreeAcc_Z_std,660.894336,0.000000,0.183792,Large,Yes
LF_Acc_Z_std,660.894336,0.000000,0.183792,Large,Yes
LF_Acc_Z_spec_power,660.888215,0.000000,0.183790,Large,Yes
LF_FreeAcc_Z_spec_power,660.888215,0.000000,0.183790,Large,Yes
LF_FreeAcc_Z_rms,657.170708,0.000000,0.182753,Large,Yes
LF_Acc_Y_mean,647.923313,0.000000,0.180174,Large,Yes
LF_Acc_Z_rms,646.531674,0.000000,0.179786,Large,Yes
RF_Acc_Z_rms,622.417154,0.000000,0.172963,Large,Yes
HE_Acc_X_std,622.170157,0.000000,0.172605,Large,Yes
HE_Acc_X_spec_power,622.167028,0.000000,0.172604,Large,Yes
RF_Gyr_X_mean,607.864267,0.000000,0.168906,Large,Yes
RF_Acc_X_rms,606.983032,0.000000,0.168660,Large,Yes
LB_FreeAcc_Z_spec_power,601.606738,0.000000,0.166743,Large,Yes
LB_Acc_Z_spec_power,601.606738,0.000000,0.166743,Large,Yes
LB_FreeAcc_Z_std,601.606601,0.000000,0.166743,Large,Yes
LB_Acc_Z_std,601.606601,0.000000,0.166743,Large,Yes
LF_FreeAcc_X_mean,597.491641,0.000000,0.166106,Large,Yes
RF_Acc_Z_spec_centroid,588.058939,0.000000,0.163384,Large,Yes
RF_FreeAcc_Z_spec_centroid,588.058939,0.000000,0.163384,Large,Yes
LB_Acc_X_rms,568.062614,0.000000,0.157415,Large,Yes
RF_Gyr_Y_spec_power,549.379088,0.000000,0.152601,Large,Yes
RF_Gyr_Y_std,549.378999,0.000000,0.152601,Large,Yes
RF_Gyr_Y_rms,549.195082,0.000000,0.152550,Large,Yes
LF_Gyr_X_mean,546.315650,0.000000,0.151831,Large,Yes
LF_FreeAcc_Z_spec_centroid,536.916927,0.000000,0.149210,Large,Yes
LF_Acc_Z_spec_centroid,536.916927,0.000000,0.149210,Large,Yes
RF_Acc_Z_spec_power,533.858404,0.000000,0.148274,Large,Yes
RF_FreeAcc_Z_std,533.858404,0.000000,0.148274,Large,Yes
RF_Acc_Z_std,533.858404,0.000000,0.148274,Large,Yes
RF_FreeAcc_Z_spec_power,533.858404,0.000000,0.148274,Large,Yes
RF_FreeAcc_Z_rms,533.270807,0.000000,0.148110,Large,Yes
RF_Acc_Y_rms,505.834704,0.000000,0.140461,Large,Yes
LB_Acc_Y_dom_freq,504.619156,0.000000,0.139578,Medium,Yes
LB_FreeAcc_Y_dom_freq,504.619156,0.000000,0.139578,Medium,Yes
RF_Acc_X_spec_centroid,481.175549,0.000000,0.133587,Medium,Yes
RF_FreeAcc_X_spec_centroid,481.175549,0.000000,0.133587,Medium,Yes
LF_Acc_Y_std,478.868746,0.000000,0.133018,Medium,Yes
LF_FreeAcc_Y_std,478.868746,0.000000,0.133018,Medium,Yes
LF_Acc_Y_spec_power,478.866602,0.000000,0.133017,Medium,Yes
LF_FreeAcc_Y_spec_power,478.866602,0.000000,0.133017,Medium,Yes
LF_FreeAcc_Y_rms,471.108309,0.000000,0.130853,Medium,Yes
LB_FreeAcc_Y_spec_centroid,471.365072,0.000000,0.130524,Medium,Yes
LB_Acc_Y_spec_centroid,471.365072,0.000000,0.130524,Medium,Yes
RF_Gyr_Z_rms,466.207318,0.000000,0.129414,Medium,Yes
LB_Acc_X_mean,462.520337,0.000000,0.128065,Medium,Yes
RF_Gyr_Z_spec_power,459.960410,0.000000,0.127672,Medium,Yes
RF_Gyr_Z_std,459.958448,0.000000,0.127672,Medium,Yes
LF_Acc_X_spec_centroid,448.740634,0.000000,0.124614,Medium,Yes
LF_FreeAcc_X_spec_centroid,448.740634,0.000000,0.124614,Medium,Yes
LF_Acc_X_mean,430.729002,0.000000,0.119590,Medium,Yes
RF_Acc_Z_mean,429.565185,0.000000,0.119199,Medium,Yes
LB_FreeAcc_Z_rms,421.644407,0.000000,0.116698,Medium,Yes
LB_FreeAcc_Y_std,408.960414,0.000000,0.113170,Medium,Yes
LB_Acc_Y_std,408.960414,0.000000,0.113170,Medium,Yes
LB_FreeAcc_Y_spec_power,408.957724,0.000000,0.113170,Medium,Yes
LB_Acc_Y_spec_power,408.957724,0.000000,0.113170,Medium,Yes
RF_FreeAcc_Z_dom_freq,406.200176,0.000000,0.112247,Medium,Yes
RF_Acc_Z_dom_freq,406.200176,0.000000,0.112247,Medium,Yes
HE_FreeAcc_Y_spec_centroid,397.181107,0.000000,0.109986,Medium,Yes
RF_Gyr_X_rms,376.661752,0.000000,0.104450,Medium,Yes
LB_Gyr_Z_spec_power,374.495640,0.000000,0.103586,Medium,Yes
LB_Gyr_Z_std,374.494862,0.000000,0.103586,Medium,Yes
LB_Gyr_Z_rms,373.101571,0.000000,0.103198,Medium,Yes
RF_Acc_X_mean,371.795932,0.000000,0.103093,Medium,Yes
RF_Gyr_X_std,367.058724,0.000000,0.101773,Medium,Yes
RF_Gyr_X_spec_power,367.055225,0.000000,0.101772,Medium,Yes
HE_FreeAcc_Z_std,358.179138,0.000000,0.099131,Medium,Yes
HE_Acc_Z_std,358.179138,0.000000,0.099131,Medium,Yes
HE_Acc_Z_spec_power,358.176409,0.000000,0.099131,Medium,Yes
HE_FreeAcc_Z_spec_power,358.176409,0.000000,0.099131,Medium,Yes
HE_Acc_Z_rms,355.741680,0.000000,0.098453,Medium,Yes
LF_Acc_Y_rms,340.354660,0.000000,0.094381,Medium,Yes
HE_FreeAcc_Y_std,328.936275,0.000000,0.090993,Medium,Yes
HE_FreeAcc_Y_spec_power,328.936275,0.000000,0.090993,Medium,Yes
RF_Acc_Y_mean,328.196648,0.000000,0.090939,Medium,Yes
HE_Gyr_Z_spec_power,324.252054,0.000000,0.089689,Medium,Yes
HE_Gyr_Z_std,324.249692,0.000000,0.089688,Medium,Yes
LF_Gyr_X_rms,320.271861,0.000000,0.088779,Medium,Yes
HE_Gyr_Z_rms,316.324484,0.000000,0.087482,Medium,Yes
