Feature,d_healthy_vs_neuro,d_healthy_vs_neuro_interp,d_healthy_vs_ortho,d_healthy_vs_ortho_interp,d_neuro_vs_ortho,d_neuro_vs_ortho_interp
LB_FreeAcc_Z_mean,0.019055,Negligible,-0.256211,Small,-0.263912,Small
LB_FreeAcc_Z_std,1.443988,Large,1.203097,Large,-0.092307,Negligible
LB_FreeAcc_Z_rms,1.092194,Large,0.828412,Large,-0.199577,Negligible
LB_FreeAcc_Z_dom_freq,0.437892,Small,0.794121,Medium,0.211630,Small
LB_FreeAcc_Z_spec_centroid,0.489392,Small,-0.179484,Negligible,-0.646753,Medium
LB_FreeAcc_Z_spec_power,1.497387,Large,1.102555,Large,-0.131194,Negligible
LB_Gyr_X_mean,0.046350,Negligible,0.387489,Small,0.395433,Small
LB_Gyr_X_std,0.478851,Small,0.489239,Small,-0.039804,Negligible
LB_Gyr_X_rms,0.467478,Small,0.463326,Small,-0.041393,Negligible
LB_Gyr_X_dom_freq,0.163833,Negligible,0.555436,Medium,0.348749,Small
LB_Gyr_X_spec_centroid,0.267109,Small,0.421172,Small,0.178448,Negligible
LB_Gyr_X_spec_power,0.386005,Small,0.458503,Small,0.038872,Negligible
LB_Gyr_Y_mean,-0.222244,Small,-0.421861,Small,-0.220006,Small
LB_Gyr_Y_std,-0.184080,Negligible,0.636151,Medium,0.696497,Medium
LB_Gyr_Y_rms,-0.180567,Negligible,0.634874,Medium,0.692571,Medium
LB_Gyr_Y_dom_freq,0.402349,Small,0.588775,Medium,0.182242,Negligible
LB_Gyr_Y_spec_centroid,0.246091,Small,0.686651,Medium,0.431921,Small
LB_Gyr_Y_spec_power,-0.165533,Negligible,0.529718,Medium,0.627667,Medium
LB_Gyr_Z_mean,-0.247087,Small,0.129024,Negligible,0.398226,Small
LB_Gyr_Z_std,0.417708,Small,1.337355,Large,0.747994,Medium
LB_Gyr_Z_rms,0.416623,Small,1.330349,Large,0.748410,Medium
LB_Gyr_Z_dom_freq,0.623928,Medium,0.678926,Medium,0.024635,Negligible
LB_Gyr_Z_spec_centroid,0.006938,Negligible,0.201306,Small,0.191244,Negligible
LB_Gyr_Z_spec_power,0.383046,Small,1.100908,Large,0.681661,Medium
LF_Acc_X_mean,1.050090,Large,1.249450,Large,0.160583,Negligible
LF_Acc_X_std,1.698833,Large,1.252343,Large,-0.369383,Small
LF_Acc_X_rms,1.484332,Large,1.411192,Large,-0.056004,Negligible
LF_Acc_X_dom_freq,-0.040175,Negligible,-0.018282,Negligible,0.022680,Negligible
LF_Acc_X_spec_centroid,0.598281,Medium,-0.357000,Small,-0.909913,Large
LF_Acc_X_spec_power,1.883116,Large,1.172630,Large,-0.409706,Small
LF_Acc_Y_mean,0.701903,Medium,-0.466654,Small,-1.365759,Large
LF_Acc_Y_std,1.115132,Large,1.028735,Large,-0.093956,Negligible
LF_Acc_Y_rms,0.940937,Large,0.999512,Large,0.079883,Negligible
LF_Acc_Y_dom_freq,0.147579,Negligible,-0.077040,Negligible,-0.249040,Small
LF_Acc_Y_spec_centroid,0.862550,Large,-0.580089,Medium,-1.405753,Large
LF_Acc_Y_spec_power,1.068071,Large,0.890628,Large,-0.071084,Negligible
LF_Acc_Z_mean,0.622557,Medium,-0.002132,Negligible,-0.658341,Medium
LF_Acc_Z_std,1.464668,Large,1.030655,Large,-0.362962,Small
