Feature,Sensor,Channel,Metric,Overall_Mean,Overall_Std,Overall_Min,Overall_Max,Overall_Median,healthy_Mean,healthy_Std,healthy_Median,healthy_N,neuro_Mean,neuro_Std,neuro_Median,neuro_N,ortho_Mean,ortho_Std,ortho_Median,ortho_N
HE_Acc_X_mean,HE,Acc,X_mean,9.408769,0.831142,0.000000,14.134639,9.547153,9.286938,0.418490,9.379493,534,9.449096,0.933514,9.596926,2618,9.317510,0.459689,9.461445,444
HE_Acc_X_std,HE,Acc,X_std,1.185209,0.512777,0.000000,3.588725,1.115024,1.722491,0.495545,1.697478,534,1.076824,0.459282,1.026274,2618,1.178099,0.418063,1.085868,444
HE_Acc_X_rms,HE,Acc,X_rms,9.496855,0.832498,0.000000,14.161574,9.623117,9.458267,0.419072,9.530814,534,9.520952,0.937410,9.652402,2618,9.401180,0.455415,9.538838,444
HE_Acc_X_dom_freq,HE,Acc,X_dom_freq,1.849612,0.711940,0.166667,7.333333,1.833333,1.787175,0.326096,1.833333,538,1.887064,0.772694,1.833333,2618,1.705729,0.654645,1.666667,448
HE_Acc_X_spec_centroid,HE,Acc,X_spec_centroid,5.438927,1.414981,0.000000,10.138605,5.375869,5.893981,1.319655,5.844252,534,5.230460,1.427478,5.090495,2618,6.120841,1.068884,5.976410,444
HE_Acc_X_spec_power,HE,Acc,X_spec_power,1003.896954,877.422730,0.000000,7753.213690,748.461886,1933.691420,1096.716150,1734.641421,534,824.993833,725.766112,634.056290,2618,940.514356,673.426328,709.833242,444
HE_Acc_Y_mean,HE,Acc,Y_mean,-0.247475,0.874395,-3.324505,6.293097,-0.300148,-0.253646,0.687714,-0.260066,534,-0.217044,0.947777,-0.279957,2618,-0.419484,0.542028,-0.394902,444
HE_Acc_Y_std,HE,Acc,Y_std,1.089829,0.390798,0.000000,2.987204,1.053475,1.151042,0.411689,1.086406,534,1.059288,0.384717,1.021830,2618,1.196285,0.373788,1.165365,444
HE_Acc_Y_rms,HE,Acc,Y_rms,1.359699,0.563305,0.000000,6.330219,1.263725,1.340805,0.482855,1.272651,534,1.361266,0.601816,1.257301,2618,1.373186,0.392821,1.291676,444
HE_Acc_Y_dom_freq,HE,Acc,Y_dom_freq,0.971421,0.570283,0.166667,4.500000,0.833333,1.015489,0.624826,0.833333,538,0.981920,0.564364,0.833333,2618,0.857143,0.521169,0.833333,448
HE_Acc_Y_spec_centroid,HE,Acc,Y_spec_centroid,4.979537,1.560050,0.000000,11.353545,4.869896,5.230827,1.484110,4.992856,534,4.853564,1.590270,4.721021,2618,5.420094,1.340167,5.371472,444
HE_Acc_Y_spec_power,HE,Acc,Y_spec_power,806.933257,575.692630,0.000000,5371.930294,668.112193,899.437772,642.479313,710.537643,534,764.572971,547.200431,628.576888,2618,945.450866,619.583267,817.570846,444
HE_Acc_Z_mean,HE,Acc,Z_mean,0.919848,2.028194,-7.099484,7.044223,0.970876,1.701249,2.132884,2.023298,534,0.596161,1.921675,0.622618,2618,1.888637,1.948752,2.138872,444
HE_Acc_Z_std,HE,Acc,Z_std,1.015681,0.494998,0.000000,4.234708,0.911385,1.352593,0.571311,1.216795,534,0.927223,0.442912,0.841438,2618,1.132058,0.490070,1.028746,444
HE_Acc_Z_rms,HE,Acc,Z_rms,2.193112,1.194055,0.000000,7.327874,1.974264,2.863416,1.180540,2.779729,534,1.971818,1.102303,1.692675,2618,2.691773,1.278771,2.528907,444
HE_Acc_Z_dom_freq,HE,Acc,Z_dom_freq,0.849843,0.806548,0.166667,5.500000,0.500000,0.932466,0.852864,0.333333,538,0.850204,0.801713,0.500000,2618,0.748512,0.766887,0.333333,448
HE_Acc_Z_spec_centroid,HE,Acc,Z_spec_centroid,5.310448,1.727346,0.000000,11.091222,5.250820,5.764427,1.680483,5.714663,534,5.132623,1.727940,5.080931,2618,5.812978,1.577593,5.612282,444
HE_Acc_Z_spec_power,HE,Acc,Z_spec_power,768.497219,882.483024,0.000000,10795.635355,500.037795,1297.497564,1180.428119,891.323037,534,635.620584,753.536358,426.231278,2618,915.760382,908.633946,637.113956,444
HE_FreeAcc_X_mean,HE,FreeAcc,X_mean,-0.017714,0.581460,-4.418602,3.965427,-0.022286,-0.048593,0.833340,-0.037986,534,-0.092743,0.436543,-0.047634,2618,0.461824,0.719356,0.382003,444
HE_FreeAcc_X_std,HE,FreeAcc,X_std,1.129056,0.460197,0.000000,3.064891,1.089808,1.332554,0.469508,1.323284,534,1.076147,0.458651,1.026274,2618,1.196285,0.373788,1.165365,444
HE_FreeAcc_X_rms,HE,FreeAcc,X_rms,1.248127,0.516777,0.000000,4.718327,1.192818,1.529754,0.593089,1.453796,534,1.159098,0.473338,1.118742,2618,1.434369,0.493178,1.335851,444
HE_FreeAcc_X_dom_freq,HE,FreeAcc,X_dom_freq,1.660239,0.823350,0.166667,7.333333,1.666667,1.232962,0.662732,1.000000,538,1.885472,0.773373,1.833333,2618,0.857143,0.521169,0.833333,448
HE_FreeAcc_X_spec_centroid,HE,FreeAcc,X_spec_centroid,5.257304,1.410785,0.000000,10.138605,5.114696,5.260195,1.387132,5.059663,534,5.229106,1.425800,5.089009,2618,5.420094,1.340167,5.371472,444
HE_FreeAcc_X_spec_power,HE,FreeAcc,X_spec_power,894.876032,740.314809,0.000000,5654.981561,714.991097,1201.438838,822.718860,1054.163955,534,823.768406,724.828113,634.056290,2618,945.450866,619.583267,817.570846,444
HE_FreeAcc_Y_mean,HE,FreeAcc,Y_mean,0.003243,0.693375,-3.930985,3.437834,0.000000,-0.031660,0.580207,-0.016889,534,0.058020,0.724778,0.053817,2618,-0.277766,0.543058,-0.195203,444
HE_FreeAcc_Y_std,HE,FreeAcc,Y_std,1.145981,0.456387,0.000000,3.588725,1.073547,1.540979,0.580032,1.498253,534,1.059965,0.385498,1.021830,2618,1.178099,0.418063,1.085868,444
HE_FreeAcc_Y_rms,HE,FreeAcc,Y_rms,1.311866,0.530316,0.000000,4.311736,1.227729,1.646908,0.579446,1.619922,534,1.242780,0.506107,1.165542,2618,1.316272,0.448982,1.255261,444
HE_FreeAcc_Y_dom_freq,HE,FreeAcc,Y_dom_freq,1.160794,0.644311,0.166667,4.666667,0.833333,1.569703,0.546839,1.666667,538,0.983512,0.565981,0.833333,2618,1.705729,0.654645,1.666667,448
HE_FreeAcc_Y_spec_centroid,HE,FreeAcc,Y_spec_centroid,5.161160,1.595788,0.000000,11.353545,5.175999,5.864613,1.434306,5.851170,534,4.854918,1.592095,4.721021,2618,6.120841,1.068884,5.976410,444
HE_FreeAcc_Y_spec_power,HE,FreeAcc,Y_spec_power,915.954180,756.575953,0.000000,7753.213690,693.813801,1631.690354,1175.504819,1351.362578,534,765.798399,548.574609,628.576888,2618,940.514356,673.426328,709.833242,444
HE_FreeAcc_Z_mean,HE,FreeAcc,Z_mean,-0.641209,1.943812,-8.135283,9.573219,-0.715850,-0.316602,2.259814,-0.296236,534,-0.628295,1.897691,-0.725858,2618,-1.107757,1.702276,-0.971789,444
HE_FreeAcc_Z_std,HE,FreeAcc,Z_std,1.015681,0.494998,0.000000,4.234708,0.911385,1.352593,0.571311,1.216795,534,0.927223,0.442912,0.841438,2618,1.132058,0.490070,1.028746,444
HE_FreeAcc_Z_rms,HE,FreeAcc,Z_rms,1.980105,1.242852,0.000000,9.605640,1.615245,2.326149,1.394777,1.937083,534,1.893916,1.209996,1.548442,2618,2.072121,1.161413,1.673991,444
HE_FreeAcc_Z_dom_freq,HE,FreeAcc,Z_dom_freq,0.849843,0.806548,0.166667,5.500000,0.500000,0.932466,0.852864,0.333333,538,0.850204,0.801713,0.500000,2618,0.748512,0.766887,0.333333,448
HE_FreeAcc_Z_spec_centroid,HE,FreeAcc,Z_spec_centroid,5.310448,1.727346,0.000000,11.091222,5.250820,5.764427,1.680483,5.714663,534,5.132623,1.727940,5.080931,2618,5.812978,1.577593,5.612282,444
HE_FreeAcc_Z_spec_power,HE,FreeAcc,Z_spec_power,768.497219,882.483024,0.000000,10795.635355,500.037795,1297.497564,1180.428119,891.323037,534,635.620584,753.536358,426.231278,2618,915.760382,908.633946,637.113956,444
HE_Gyr_X_mean,HE,Gyr,X_mean,-0.004868,0.145877,-0.962974,1.240136,0.000000,0.005959,0.170067,-0.002585,534,-0.001931,0.147736,0.003845,2618,-0.035211,0.088545,-0.023905,444
HE_Gyr_X_std,HE,Gyr,X_std,0.228692,0.142669,0.000000,1.572132,0.189281,0.270144,0.153141,0.228539,534,0.215516,0.133105,0.178619,2618,0.256528,0.168598,0.206069,444
HE_Gyr_X_rms,HE,Gyr,X_rms,0.257320,0.166555,0.000000,1.572432,0.203617,0.303824,0.181778,0.244153,534,0.245908,0.159743,0.193720,2618,0.268679,0.176387,0.212615,444
HE_Gyr_X_dom_freq,HE,Gyr,X_dom_freq,1.007677,0.874800,0.166667,6.833333,0.833333,0.955390,0.648713,0.833333,538,1.058887,0.956979,0.833333,2618,0.771205,0.475914,0.833333,448
HE_Gyr_X_spec_centroid,HE,Gyr,X_spec_centroid,5.440207,1.611634,0.000000,12.471938,5.282400,5.492568,1.800458,5.251403,534,5.473390,1.568482,5.314769,2618,5.181569,1.602416,5.130918,444
HE_Gyr_X_spec_power,HE,Gyr,X_spec_power,43.734989,81.564974,0.000000,1487.919131,21.568123,58.024865,99.987532,31.443082,534,38.623206,68.003830,19.206866,2618,56.689613,118.626164,25.563975,444
HE_Gyr_Y_mean,HE,Gyr,Y_mean,-0.001789,0.094144,-0.730288,0.638971,-0.000375,-0.016649,0.135209,0.001004,534,0.003049,0.088217,0.000169,2618,-0.012447,0.058634,-0.007169,444
HE_Gyr_Y_std,HE,Gyr,Y_std,0.231243,0.100202,0.000000,1.001878,0.210464,0.285129,0.103122,0.261110,534,0.218239,0.089856,0.200135,2618,0.243114,0.127853,0.205686,444
HE_Gyr_Y_rms,HE,Gyr,Y_rms,0.245679,0.109636,0.000000,1.011330,0.221743,0.309313,0.121614,0.274459,534,0.231837,0.098707,0.212560,2618,0.250762,0.127098,0.215868,444
HE_Gyr_Y_dom_freq,HE,Gyr,Y_dom_freq,1.614132,1.279567,0.166667,7.833333,1.500000,1.485750,1.039815,1.666667,538,1.687293,1.330815,1.666667,2618,1.340774,1.184641,1.333333,448
HE_Gyr_Y_spec_centroid,HE,Gyr,Y_spec_centroid,5.504671,1.331115,0.000000,10.528438,5.373889,5.391088,1.337134,5.092230,534,5.552337,1.329499,5.435980,2618,5.360214,1.317593,5.216293,444
HE_Gyr_Y_spec_power,HE,Gyr,Y_spec_power,38.233946,40.182404,0.000000,604.266950,26.665957,55.331808,50.716738,41.043788,534,33.531170,31.746332,24.112825,2618,45.399733,59.328570,25.469045,444
HE_Gyr_Z_mean,HE,Gyr,Z_mean,0.002674,0.047649,-0.340737,0.355622,0.000075,0.004185,0.062376,-0.000091,534,0.003144,0.044650,0.000611,2618,-0.001911,0.044058,-0.002579,444
HE_Gyr_Z_std,HE,Gyr,Z_std,0.172319,0.076056,0.000000,0.827694,0.156552,0.221829,0.085053,0.203854,534,0.158242,0.063563,0.146429,2618,0.195775,0.098459,0.173154,444
HE_Gyr_Z_rms,HE,Gyr,Z_rms,0.177885,0.078182,0.000000,0.829377,0.160648,0.229478,0.087656,0.213452,534,0.163623,0.065660,0.151486,2618,0.199928,0.099960,0.176386,444
HE_Gyr_Z_dom_freq,HE,Gyr,Z_dom_freq,1.325425,1.075420,0.166667,7.333333,0.833333,1.469331,0.995146,1.000000,538,1.341355,1.131289,0.833333,2618,1.059524,0.736417,0.833333,448
HE_Gyr_Z_spec_centroid,HE,Gyr,Z_spec_centroid,5.443859,1.350188,0.000000,12.301942,5.352755,5.450525,1.381395,5.299663,534,5.482703,1.340798,5.389450,2618,5.206801,1.346343,5.059673,444
HE_Gyr_Z_spec_power,HE,Gyr,Z_spec_power,21.357265,23.078984,0.000000,412.421015,14.754204,33.970276,29.715983,25.018602,534,17.505951,16.019382,12.907893,2618,28.896436,37.518435,18.049571,444
LB_Acc_X_mean,LB,Acc,X_mean,9.439939,0.455151,6.963328,10.044075,9.566238,9.593704,0.395142,9.705865,538,9.367190,0.464543,9.490582,2613,9.679599,0.319304,9.780075,448
LB_Acc_X_std,LB,Acc,X_std,1.200944,0.559626,0.045056,4.368646,1.081112,1.863478,0.588958,1.827866,538,1.060573,0.454485,0.963989,2613,1.224035,0.503120,1.147371,448
LB_Acc_X_rms,LB,Acc,X_rms,9.531152,0.481794,6.988525,10.641839,9.645178,9.788991,0.435658,9.883523,538,9.437241,0.479402,9.555714,2613,9.769256,0.330249,9.862901,448
LB_Acc_X_dom_freq,LB,Acc,X_dom_freq,1.922632,0.746164,0.166667,8.500000,1.833333,1.827138,0.382288,1.833333,538,1.931818,0.788959,1.833333,2618,1.983631,0.807915,1.666667,448
LB_Acc_X_spec_centroid,LB,Acc,X_spec_centroid,5.767806,1.366874,2.714515,10.563096,5.681487,6.215739,1.246089,6.192821,538,5.540937,1.353033,5.362065,2613,6.553119,1.146904,6.358708,448
LB_Acc_X_spec_power,LB,Acc,X_spec_power,1056.737407,1045.983064,1.222108,11489.328542,703.627183,2298.927556,1439.079688,2011.365799,538,801.446467,759.542228,559.428856,2613,1054.007327,842.219432,792.518385,448
LB_Acc_Y_mean,LB,Acc,Y_mean,0.090539,0.629674,-2.048793,2.478651,0.146471,0.158023,0.432668,0.130375,538,0.038177,0.684248,0.095584,2613,0.314904,0.398397,0.283463,448
LB_Acc_Y_std,LB,Acc,Y_std,0.928448,0.332744,0.117672,2.686264,0.862954,1.151563,0.392429,1.136355,538,0.859833,0.300823,0.801460,2613,1.060718,0.269119,1.039350,448
LB_Acc_Y_rms,LB,Acc,Y_rms,1.116853,0.360493,0.268265,2.851624,1.071884,1.242768,0.383976,1.222440,538,1.081027,0.361491,1.029205,2613,1.174601,0.274587,1.176313,448
LB_Acc_Y_dom_freq,LB,Acc,Y_dom_freq,1.973872,1.959379,0.166667,12.500000,0.833333,4.046778,2.627413,4.166667,538,1.533231,1.385805,0.833333,2618,2.059524,2.256607,0.833333,448
LB_Acc_Y_spec_centroid,LB,Acc,Y_spec_centroid,5.891048,1.417798,2.449639,11.457290,5.825507,6.825550,1.382239,6.887476,538,5.578983,1.328729,5.409438,2613,6.588961,1.208178,6.635026,448
LB_Acc_Y_spec_power,LB,Acc,Y_spec_power,585.573486,443.750746,8.335840,4344.088499,448.308446,890.854802,612.168754,777.371951,538,499.527570,374.406337,386.690109,2613,720.833824,376.683852,650.316723,448
LB_Acc_Z_mean,LB,Acc,Z_mean,1.976061,1.902995,-6.222612,7.088258,2.195823,2.068878,1.447948,2.199809,538,1.942645,2.071602,2.220877,2613,2.059499,1.236788,2.000271,448
LB_Acc_Z_std,LB,Acc,Z_std,1.060778,0.398856,0.154071,2.543643,1.015038,1.487547,0.394445,1.467092,538,0.981051,0.341089,0.949800,2613,1.013294,0.393891,0.955054,448
LB_Acc_Z_rms,LB,Acc,Z_rms,2.695436,1.242797,0.611901,7.143720,2.526110,2.763939,1.050571,2.602742,538,2.733783,1.292127,2.536867,2613,2.389514,1.114599,2.347075,448
LB_Acc_Z_dom_freq,LB,Acc,Z_dom_freq,1.602201,0.417351,0.166667,5.000000,1.666667,1.764560,0.208002,1.833333,538,1.587217,0.434509,1.666667,2618,1.494792,0.449512,1.666667,448
LB_Acc_Z_spec_centroid,LB,Acc,Z_spec_centroid,5.616013,1.413850,2.352714,11.227077,5.571615,6.087415,1.243954,6.094198,538,5.401571,1.431650,5.270754,2613,6.300659,1.117300,6.226227,448
LB_Acc_Z_spec_power,LB,Acc,Z_spec_power,773.152085,587.227468,14.290276,3895.048550,620.248828,1425.607321,733.805645,1295.735345,538,649.418360,461.776121,543.081744,2613,711.311254,526.357075,549.108468,448
