Sensor_Type,count,mean,std,min,25%,50%,75%,max
Across_HE_vs_LB,100.0000,0.1541,0.2035,0.0008,0.0253,0.0664,0.1789,0.8117
Across_HE_vs_LF,100.0000,0.1157,0.1353,0.0013,0.0412,0.0698,0.1096,0.5786
Across_HE_vs_RF,100.0000,0.1130,0.1249,0.0001,0.0371,0.0737,0.1189,0.5368
Across_LB_vs_LF,100.0000,0.1398,0.1533,0.0010,0.0377,0.0778,0.1566,0.6553
Across_LB_vs_RF,100.0000,0.1388,0.1338,0.0016,0.0625,0.0905,0.1546,0.6022
Across_LF_vs_RF,100.0000,0.1803,0.1826,0.0002,0.0510,0.1048,0.2436,0.6572
Within_HE,1431.0000,0.1691,0.1999,0.0003,0.0343,0.0923,0.2183,1.0000
Within_LB,1431.0000,0.1951,0.2241,0.0001,0.0446,0.1096,0.2564,1.0000
Within_LF,1431.0000,0.2498,0.2602,0.0002,0.0514,0.1340,0.4344,1.0000
Within_RF,1431.0000,0.2305,0.2527,0.0002,0.0517,0.1132,0.3581,1.0000
