Feature,H_Statistic,p_value,eta_squared,Effect_Size,Significant
HE_FreeAcc_X_dom_freq,143.352441,0.000000,0.259839,Large,Yes
HE_FreeAcc_X_spec_power,139.919239,0.000000,0.253528,Large,Yes
HE_FreeAcc_X_std,139.919239,0.000000,0.253528,Large,Yes
HE_FreeAcc_X_rms,137.084380,0.000000,0.248317,Large,Yes
LF_Acc_Y_mean,92.870104,0.000000,0.167041,Large,Yes
LF_Gyr_Z_mean,85.023352,0.000000,0.152616,Large,Yes
RF_Acc_Y_mean,84.321077,0.000000,0.151326,Large,Yes
RF_Acc_Y_spec_centroid,79.938426,0.000000,0.143269,Large,Yes
RF_FreeAcc_Y_spec_centroid,79.938426,0.000000,0.143269,Large,Yes
HE_Acc_Z_mean,79.355475,0.000000,0.142198,Large,Yes
RF_FreeAcc_Y_mean,77.545246,0.000000,0.138870,Medium,Yes
HE_Gyr_Z_std,71.309686,0.000000,0.127408,Medium,Yes
HE_Gyr_Z_spec_power,71.309686,0.000000,0.127408,Medium,Yes
LB_Gyr_X_mean,70.888578,0.000000,0.126633,Medium,Yes
LF_Gyr_X_mean,70.741765,0.000000,0.126364,Medium,Yes
RF_Gyr_Z_mean,68.007679,0.000000,0.121338,Medium,Yes
HE_Gyr_Z_rms,67.065005,0.000000,0.119605,Medium,Yes
RF_Gyr_X_mean,67.014132,0.000000,0.119511,Medium,Yes
HE_Gyr_X_mean,57.796141,0.000000,0.102566,Medium,Yes
HE_FreeAcc_Y_dom_freq,56.907846,0.000000,0.100934,Medium,Yes
RF_FreeAcc_Z_spec_centroid,54.953305,0.000000,0.097341,Medium,Yes
RF_Acc_Z_spec_centroid,54.953305,0.000000,0.097341,Medium,Yes
LB_Gyr_Z_mean,53.391853,0.000000,0.094470,Medium,Yes
LF_Acc_Y_spec_centroid,52.362033,0.000000,0.092577,Medium,Yes
LF_FreeAcc_Y_spec_centroid,52.362033,0.000000,0.092577,Medium,Yes
HE_FreeAcc_Y_std,49.652548,0.000000,0.087597,Medium,Yes
HE_FreeAcc_Y_spec_power,49.652548,0.000000,0.087597,Medium,Yes
HE_Gyr_Z_mean,48.165954,0.000000,0.084864,Medium,Yes
RF_Acc_X_spec_centroid,43.902868,0.000000,0.077027,Medium,Yes
RF_FreeAcc_X_spec_centroid,43.902868,0.000000,0.077027,Medium,Yes
LF_Gyr_Z_std,42.876061,0.000000,0.075140,Medium,Yes
LF_Gyr_Z_spec_power,42.876061,0.000000,0.075140,Medium,Yes
LF_Gyr_Z_rms,42.369687,0.000000,0.074209,Medium,Yes
LF_Acc_Y_std,42.127732,0.000000,0.073764,Medium,Yes
LF_Acc_Y_spec_power,42.127732,0.000000,0.073764,Medium,Yes
LF_FreeAcc_Y_std,42.127732,0.000000,0.073764,Medium,Yes
LF_FreeAcc_Y_spec_power,42.127732,0.000000,0.073764,Medium,Yes
HE_Acc_X_mean,41.904464,0.000000,0.073354,Medium,Yes
LF_Acc_Y_rms,40.911447,0.000000,0.071528,Medium,Yes
HE_Acc_Z_rms,40.869343,0.000000,0.071451,Medium,Yes
LB_Gyr_Y_std,40.329742,0.000000,0.070459,Medium,Yes
LB_Gyr_Y_spec_power,40.325983,0.000000,0.070452,Medium,Yes
HE_Acc_X_rms,40.024336,0.000000,0.069898,Medium,Yes
LB_Acc_Y_mean,39.024929,0.000000,0.068061,Medium,Yes
RF_Acc_Z_rms,38.750604,0.000000,0.067556,Medium,Yes
