Feature,Sensor,Channel,Metric,Overall_Mean,Overall_Std,Overall_Min,Overall_Max,Overall_Median,healthy_Mean,healthy_Std,healthy_Median,healthy_N,neuro_Mean,neuro_Std,neuro_Median,neuro_N,ortho_Mean,ortho_Std,ortho_Median,ortho_N
HE_Acc_X_mean,HE,Acc,X_mean,9.399465,0.989703,0.000000,14.217413,9.563442,9.041436,1.245859,9.329368,28,9.449884,1.028415,9.590363,441,9.242926,0.521274,9.387936,78
HE_Acc_X_std,HE,Acc,X_std,0.741200,0.317785,0.000000,2.792211,0.682119,0.902566,0.263787,0.821752,28,0.728830,0.327155,0.672451,441,0.753210,0.263810,0.713490,78
HE_Acc_X_rms,HE,Acc,X_rms,9.435208,0.977976,0.000000,14.235367,9.593873,9.096035,1.199830,9.358456,28,9.484658,1.018401,9.625672,441,9.277380,0.519257,9.426951,78
HE_Acc_X_dom_freq,HE,Acc,X_dom_freq,2.065204,1.090536,0.333333,6.333333,2.000000,2.214286,1.169623,1.833333,28,2.073318,1.020950,2.000000,441,1.965812,1.406632,1.666667,78
HE_Acc_X_spec_centroid,HE,Acc,X_spec_centroid,6.058033,1.756378,0.000000,11.635492,5.920252,6.742546,1.622415,6.558673,28,5.925455,1.777810,5.712187,441,6.561881,1.537094,6.269700,78
HE_Acc_X_spec_power,HE,Acc,X_spec_power,196.361635,196.148308,0.000000,2354.623739,140.522612,266.290373,162.779481,204.120399,28,192.677644,203.648557,136.566026,441,192.087725,157.047983,153.759583,78
HE_Acc_Y_mean,HE,Acc,Y_mean,-0.182359,1.003877,-3.841984,5.810659,-0.220438,-0.417146,1.208346,-0.249344,28,-0.095425,1.020959,-0.148545,441,-0.589587,0.668113,-0.538630,78
HE_Acc_Y_std,HE,Acc,Y_std,1.091153,0.419812,0.000000,2.944855,1.040822,1.292712,0.440471,1.249503,28,1.048752,0.412064,1.001614,441,1.258525,0.397456,1.238288,78
HE_Acc_Y_rms,HE,Acc,Y_rms,1.408883,0.649257,0.000000,5.864932,1.300203,1.686047,0.787099,1.417633,28,1.370564,0.664037,1.247759,441,1.526038,0.449323,1.448456,78
HE_Acc_Y_dom_freq,HE,Acc,Y_dom_freq,0.809263,0.378475,0.333333,4.000000,0.666667,0.666667,0.222222,0.666667,28,0.837491,0.400183,0.666667,441,0.700855,0.243766,0.666667,78
