Feature,d_healthy_vs_neuro,d_healthy_vs_neuro_interp,d_healthy_vs_ortho,d_healthy_vs_ortho_interp,d_neuro_vs_ortho,d_neuro_vs_ortho_interp
HE_Acc_X_mean,-0.391900,Small,-0.259227,Small,0.213394,Small
HE_Acc_X_std,0.536505,Medium,0.566166,Medium,-0.076540,Negligible
HE_Acc_X_rms,-0.377391,Small,-0.239490,Small,0.215771,Small
HE_Acc_X_dom_freq,0.136844,Negligible,0.184176,Negligible,0.098893,Negligible
HE_Acc_X_spec_centroid,0.461842,Small,0.115834,Negligible,-0.364909,Small
HE_Acc_X_spec_power,0.365303,Small,0.467991,Small,0.002988,Negligible
HE_Acc_Y_mean,-0.311528,Small,0.204715,Small,0.506044,Medium
HE_Acc_Y_std,0.589619,Medium,0.083576,Negligible,-0.511740,Medium
HE_Acc_Y_rms,0.469632,Small,0.287238,Small,-0.244201,Small
HE_Acc_Y_dom_freq,-0.435663,Small,-0.143430,Negligible,0.358644,Small
HE_Acc_Y_spec_centroid,0.283201,Small,0.244633,Small,-0.059940,Negligible
HE_Acc_Y_spec_power,0.557151,Medium,0.090312,Negligible,-0.431387,Small
HE_Acc_Z_mean,1.078043,Large,0.070687,Negligible,-1.008087,Large
HE_Acc_Z_std,0.061956,Negligible,-0.008176,Negligible,-0.069590,Negligible
HE_Acc_Z_rms,0.662198,Medium,0.053253,Negligible,-0.610017,Medium
HE_Acc_Z_dom_freq,-0.259413,Small,-0.233138,Small,0.085387,Negligible
HE_Acc_Z_spec_centroid,0.321778,Small,0.148953,Negligible,-0.184421,Negligible
HE_Acc_Z_spec_power,-0.014953,Negligible,-0.036799,Negligible,-0.017439,Negligible
HE_FreeAcc_X_mean,-0.076937,Negligible,-0.572374,Medium,-0.809116,Large
HE_FreeAcc_X_std,1.635507,Large,0.027743,Negligible,-1.589037,Large
HE_FreeAcc_X_rms,1.530723,Large,0.053619,Negligible,-1.461450,Large
HE_FreeAcc_X_dom_freq,-0.932740,Large,0.794064,Medium,1.442001,Large
HE_FreeAcc_X_spec_centroid,0.121970,Negligible,0.396575,Small,0.272093,Small
HE_FreeAcc_X_spec_power,1.666880,Large,0.060732,Negligible,-1.390263,Large
HE_FreeAcc_Y_mean,-0.030991,Negligible,0.272027,Small,0.381854,Small
HE_FreeAcc_Y_std,-0.309442,Small,0.656063,Medium,0.753588,Medium
HE_FreeAcc_Y_rms,0.177399,Negligible,0.528580,Medium,0.485489,Small
HE_FreeAcc_Y_dom_freq,1.890702,Large,-0.149258,Negligible,-1.719592,Large
HE_FreeAcc_Y_spec_centroid,0.602848,Medium,-0.060241,Negligible,-0.664673,Medium
HE_FreeAcc_Y_spec_power,-0.346844,Small,0.542803,Medium,0.647746,Medium
HE_FreeAcc_Z_mean,0.214836,Small,0.242580,Small,0.025891,Negligible
HE_FreeAcc_Z_std,0.061956,Negligible,-0.008176,Negligible,-0.069590,Negligible
HE_FreeAcc_Z_rms,-0.116379,Negligible,-0.062196,Negligible,0.051369,Negligible
HE_FreeAcc_Z_dom_freq,-0.259413,Small,-0.233138,Small,0.085387,Negligible
HE_FreeAcc_Z_spec_centroid,0.321778,Small,0.148953,Negligible,-0.184421,Negligible
HE_FreeAcc_Z_spec_power,-0.014953,Negligible,-0.036799,Negligible,-0.017439,Negligible
HE_Gyr_X_mean,1.393011,Large,0.981685,Large,-0.644744,Medium
HE_Gyr_X_std,0.771932,Medium,0.345506,Small,-0.352864,Small
HE_Gyr_X_rms,0.700783,Medium,0.701465,Medium,-0.041870,Negligible
HE_Gyr_X_dom_freq,-0.001314,Negligible,0.135504,Negligible,0.105726,Negligible
HE_Gyr_X_spec_centroid,-0.505081,Medium,-0.328039,Small,0.164293,Negligible
HE_Gyr_X_spec_power,0.767756,Medium,0.212648,Small,-0.376653,Small
HE_Gyr_Y_mean,-0.210181,Small,0.024701,Negligible,0.248002,Small
HE_Gyr_Y_std,0.316785,Small,0.262119,Small,-0.067155,Negligible
HE_Gyr_Y_rms,0.457421,Small,0.450867,Small,-0.040003,Negligible
HE_Gyr_Y_dom_freq,0.137508,Negligible,0.430251,Small,0.213388,Small
HE_Gyr_Y_spec_centroid,-0.039670,Negligible,0.054441,Negligible,0.094719,Negligible
HE_Gyr_Y_spec_power,0.250449,Small,0.218676,Small,-0.018292,Negligible
HE_Gyr_Z_mean,1.266520,Large,0.456923,Small,-0.599835,Medium
HE_Gyr_Z_std,0.938022,Large,-0.122776,Negligible,-1.027290,Large
HE_Gyr_Z_rms,1.016116,Large,-0.013248,Negligible,-0.975319,Large
HE_Gyr_Z_dom_freq,-0.319514,Small,0.024702,Negligible,0.342698,Small
HE_Gyr_Z_spec_centroid,-0.328871,Small,0.099790,Negligible,0.425258,Small
HE_Gyr_Z_spec_power,0.848554,Large,-0.156766,Negligible,-0.915164,Large
LB_Acc_X_mean,0.203866,Small,-0.155012,Negligible,-0.368391,Small
LB_Acc_X_std,0.347088,Small,0.647973,Medium,0.148099,Negligible
LB_Acc_X_rms,0.213668,Small,-0.132025,Negligible,-0.351976,Small
LB_Acc_X_dom_freq,0.497939,Small,-0.122798,Negligible,-0.618239,Medium
LB_Acc_X_spec_centroid,0.607160,Medium,0.006173,Negligible,-0.602367,Medium
LB_Acc_X_spec_power,0.101546,Negligible,0.480658,Small,0.115535,Negligible
LB_Acc_Y_mean,0.639556,Medium,0.099331,Negligible,-0.596521,Medium
LB_Acc_Y_std,0.367332,Small,0.116589,Negligible,-0.268101,Small
LB_Acc_Y_rms,0.323803,Small,0.418933,Small,-0.001208,Negligible
LB_Acc_Y_dom_freq,-0.158900,Negligible,-0.001192,Negligible,0.161326,Negligible
LB_Acc_Y_spec_centroid,0.205451,Small,-0.265268,Small,-0.444065,Small
LB_Acc_Y_spec_power,0.254359,Small,0.069068,Negligible,-0.196845,Negligible
LB_Acc_Z_mean,0.384962,Small,0.132394,Negligible,-0.293698,Small
LB_Acc_Z_std,0.381452,Small,0.764726,Medium,0.337707,Small
LB_Acc_Z_rms,0.263452,Small,0.221180,Small,-0.033139,Negligible
LB_Acc_Z_dom_freq,-0.303877,Small,0.110908,Negligible,0.397926,Small
LB_Acc_Z_spec_centroid,0.382970,Small,-0.112683,Negligible,-0.493796,Small
LB_Acc_Z_spec_power,0.314416,Small,0.699370,Medium,0.290479,Small
LB_FreeAcc_X_mean,-0.212790,Small,0.349064,Small,0.576592,Medium
LB_FreeAcc_X_std,0.347088,Small,0.647973,Medium,0.148099,Negligible
LB_FreeAcc_X_rms,0.329534,Small,0.564436,Medium,0.128302,Negligible
LB_FreeAcc_X_dom_freq,0.497939,Small,-0.122798,Negligible,-0.618239,Medium
LB_FreeAcc_X_spec_centroid,0.607160,Medium,0.006173,Negligible,-0.602367,Medium
LB_FreeAcc_X_spec_power,0.101546,Negligible,0.480658,Small,0.115535,Negligible
LB_FreeAcc_Y_mean,0.039868,Negligible,0.087960,Negligible,0.019375,Negligible
LB_FreeAcc_Y_std,0.367332,Small,0.116589,Negligible,-0.268101,Small
LB_FreeAcc_Y_rms,0.173205,Negligible,0.131132,Negligible,-0.061691,Negligible
LB_FreeAcc_Y_dom_freq,-0.158900,Negligible,-0.001192,Negligible,0.161326,Negligible
LB_FreeAcc_Y_spec_centroid,0.205451,Small,-0.265268,Small,-0.444065,Small
LB_FreeAcc_Y_spec_power,0.254359,Small,0.069068,Negligible,-0.196845,Negligible
LB_FreeAcc_Z_mean,0.006097,Negligible,-0.483015,Small,-0.562218,Medium
LB_FreeAcc_Z_std,0.381452,Small,0.764726,Medium,0.337707,Small
LB_FreeAcc_Z_rms,0.180293,Negligible,-0.081386,Negligible,-0.268248,Small
LB_FreeAcc_Z_dom_freq,-0.303877,Small,0.110908,Negligible,0.397926,Small
LB_FreeAcc_Z_spec_centroid,0.382970,Small,-0.112683,Negligible,-0.493796,Small
LB_FreeAcc_Z_spec_power,0.314416,Small,0.699370,Medium,0.290479,Small
LB_Gyr_X_mean,1.460116,Large,0.971184,Large,-0.711568,Medium
LB_Gyr_X_std,0.626562,Medium,0.608434,Medium,-0.013339,Negligible
LB_Gyr_X_rms,0.776158,Medium,0.911314,Large,0.063594,Negligible
LB_Gyr_X_dom_freq,-0.172056,Negligible,-0.297584,Small,-0.005083,Negligible
LB_Gyr_X_spec_centroid,-0.659616,Medium,-0.562115,Medium,0.072535,Negligible
LB_Gyr_X_spec_power,0.609908,Medium,0.565259,Medium,-0.033140,Negligible
LB_Gyr_Y_mean,0.701560,Medium,0.518352,Medium,-0.180032,Negligible
LB_Gyr_Y_std,-0.291989,Small,0.617057,Medium,0.750547,Medium
LB_Gyr_Y_rms,-0.075187,Negligible,0.880023,Large,0.687690,Medium
LB_Gyr_Y_dom_freq,-0.209833,Small,0.050582,Negligible,0.247048,Small
LB_Gyr_Y_spec_centroid,-0.040211,Negligible,0.503160,Medium,0.576128,Medium
LB_Gyr_Y_spec_power,-0.295542,Small,0.577170,Medium,0.672713,Medium
LB_Gyr_Z_mean,1.327403,Large,0.960687,Large,-0.409110,Small
LB_Gyr_Z_std,0.211980,Small,0.733053,Medium,0.484631,Small
LB_Gyr_Z_rms,0.525057,Medium,0.698800,Medium,0.256377,Small
LB_Gyr_Z_dom_freq,-0.502155,Medium,-0.168894,Negligible,0.422730,Small
LB_Gyr_Z_spec_centroid,-0.359906,Small,-0.200604,Small,0.136930,Negligible
LB_Gyr_Z_spec_power,0.166083,Negligible,0.585284,Medium,0.409113,Small
LF_Acc_X_mean,0.339189,Small,0.636357,Medium,0.234326,Small
LF_Acc_X_std,0.731087,Medium,1.023152,Large,0.096669,Negligible
LF_Acc_X_rms,0.518786,Medium,0.842030,Large,0.256685,Small
LF_Acc_X_dom_freq,-0.004275,Negligible,-0.330335,Small,-0.341970,Small
LF_Acc_X_spec_centroid,0.813392,Large,0.463881,Small,-0.431376,Small
LF_Acc_X_spec_power,0.638160,Medium,1.015988,Large,0.153063,Negligible
LF_Acc_Y_mean,-0.190141,Negligible,-1.277270,Large,-1.320030,Large
LF_Acc_Y_std,1.168309,Large,1.068956,Large,-0.216598,Small
LF_Acc_Y_rms,1.454510,Large,1.577571,Large,0.000483,Negligible
LF_Acc_Y_dom_freq,0.528479,Medium,0.055118,Negligible,-0.408970,Small
LF_Acc_Y_spec_centroid,0.689877,Medium,0.040361,Negligible,-0.689758,Medium
LF_Acc_Y_spec_power,0.963732,Large,0.942478,Large,-0.139289,Negligible
LF_Acc_Z_mean,-0.003453,Negligible,-0.811173,Large,-0.621944,Medium
LF_Acc_Z_std,0.649763,Medium,0.837627,Large,0.048287,Negligible
LF_Acc_Z_rms,0.165428,Negligible,-0.547528,Medium,-0.604776,Medium
LF_Acc_Z_dom_freq,0.172165,Negligible,-0.259463,Small,-0.467152,Small
LF_Acc_Z_spec_centroid,0.641269,Medium,0.318154,Small,-0.395943,Small
LF_Acc_Z_spec_power,0.483075,Small,0.786089,Medium,0.095115,Negligible
LF_FreeAcc_X_mean,0.800042,Large,1.455138,Large,0.247787,Small
LF_FreeAcc_X_std,0.731087,Medium,1.023152,Large,0.096669,Negligible
LF_FreeAcc_X_rms,0.767774,Medium,1.140581,Large,0.153354,Negligible
LF_FreeAcc_X_dom_freq,-0.004275,Negligible,-0.330335,Small,-0.341970,Small
LF_FreeAcc_X_spec_centroid,0.813392,Large,0.463881,Small,-0.431376,Small
LF_FreeAcc_X_spec_power,0.638160,Medium,1.015988,Large,0.153063,Negligible
LF_FreeAcc_Y_mean,-0.549453,Medium,-1.033438,Large,-0.184973,Negligible
LF_FreeAcc_Y_std,1.168309,Large,1.068956,Large,-0.216598,Small
LF_FreeAcc_Y_rms,1.107535,Large,1.112145,Large,-0.151042,Negligible
LF_FreeAcc_Y_dom_freq,0.528479,Medium,0.055118,Negligible,-0.408970,Small
LF_FreeAcc_Y_spec_centroid,0.689877,Medium,0.040361,Negligible,-0.689758,Medium
LF_FreeAcc_Y_spec_power,0.963732,Large,0.942478,Large,-0.139289,Negligible
LF_FreeAcc_Z_mean,-0.481097,Small,-1.066901,Large,-0.190590,Negligible
LF_FreeAcc_Z_std,0.649763,Medium,0.837627,Large,0.048287,Negligible
LF_FreeAcc_Z_rms,0.647994,Medium,0.889736,Large,0.084515,Negligible
LF_FreeAcc_Z_dom_freq,0.172165,Negligible,-0.259463,Small,-0.467152,Small
LF_FreeAcc_Z_spec_centroid,0.641269,Medium,0.318154,Small,-0.395943,Small
LF_FreeAcc_Z_spec_power,0.483075,Small,0.786089,Medium,0.095115,Negligible
LF_Gyr_X_mean,1.442508,Large,0.994530,Large,-0.742514,Medium
LF_Gyr_X_std,0.491191,Small,0.802320,Large,0.253382,Small
LF_Gyr_X_rms,0.534241,Medium,0.870906,Large,0.258285,Small
LF_Gyr_X_dom_freq,-0.415076,Small,-0.394536,Small,-0.029226,Negligible
LF_Gyr_X_spec_centroid,0.253015,Small,0.585080,Medium,0.287873,Small
LF_Gyr_X_spec_power,0.481751,Small,0.813935,Large,0.262118,Small
LF_Gyr_Y_mean,-0.747232,Medium,-0.480664,Small,0.264637,Small
LF_Gyr_Y_std,0.431198,Small,0.899078,Large,0.390972,Small
LF_Gyr_Y_rms,0.477501,Small,0.968959,Large,0.399109,Small
LF_Gyr_Y_dom_freq,-0.413252,Small,-0.535344,Medium,-0.040588,Negligible
LF_Gyr_Y_spec_centroid,0.147933,Negligible,0.263829,Small,0.133072,Negligible
LF_Gyr_Y_spec_power,0.417540,Small,0.923475,Large,0.385631,Small
LF_Gyr_Z_mean,1.585683,Large,0.862856,Large,-0.826366,Large
LF_Gyr_Z_std,1.287606,Large,1.537540,Large,0.136598,Negligible
LF_Gyr_Z_rms,1.273622,Large,1.428374,Large,0.092644,Negligible
LF_Gyr_Z_dom_freq,-0.390289,Small,-0.250050,Small,0.196892,Negligible
LF_Gyr_Z_spec_centroid,-0.263662,Small,0.176199,Negligible,0.418188,Small
LF_Gyr_Z_spec_power,1.415278,Large,1.664617,Large,0.139905,Negligible
RF_Acc_X_mean,-0.194724,Negligible,0.185719,Negligible,0.321494,Small
RF_Acc_X_std,0.701151,Medium,0.456278,Small,-0.315613,Small
RF_Acc_X_rms,0.029211,Negligible,0.327809,Small,0.222582,Small
RF_Acc_X_dom_freq,-0.129023,Negligible,-0.233200,Small,-0.107815,Negligible
RF_Acc_X_spec_centroid,0.505866,Medium,-0.164981,Negligible,-0.668255,Medium
RF_Acc_X_spec_power,0.704421,Medium,0.513038,Medium,-0.232372,Small
RF_Acc_Y_mean,-1.207559,Large,-0.198287,Negligible,1.063105,Large
RF_Acc_Y_std,0.959226,Large,0.850547,Large,-0.264652,Small
RF_Acc_Y_rms,0.839136,Large,1.103918,Large,-0.079945,Negligible
RF_Acc_Y_dom_freq,0.260501,Small,-0.221933,Small,-0.562791,Medium
RF_Acc_Y_spec_centroid,0.471911,Small,-0.729383,Medium,-1.108552,Large
RF_Acc_Y_spec_power,0.909198,Large,0.897049,Large,-0.114204,Negligible
RF_Acc_Z_mean,0.554524,Medium,-0.049916,Negligible,-0.596566,Medium
RF_Acc_Z_std,0.383703,Small,0.289686,Small,-0.126043,Negligible
RF_Acc_Z_rms,0.678000,Medium,0.089285,Negligible,-0.638154,Medium
RF_Acc_Z_dom_freq,0.167549,Negligible,0.094893,Negligible,-0.066914,Negligible
RF_Acc_Z_spec_centroid,0.447415,Small,-0.258403,Small,-0.687126,Medium
RF_Acc_Z_spec_power,0.276957,Small,0.315626,Small,-0.042579,Negligible
RF_FreeAcc_X_mean,0.647486,Medium,0.895703,Large,0.038590,Negligible
RF_FreeAcc_X_std,0.701151,Medium,0.456278,Small,-0.315613,Small
RF_FreeAcc_X_rms,0.699708,Medium,0.541840,Medium,-0.239496,Small
RF_FreeAcc_X_dom_freq,-0.129023,Negligible,-0.233200,Small,-0.107815,Negligible
RF_FreeAcc_X_spec_centroid,0.505866,Medium,-0.164981,Negligible,-0.668255,Medium
RF_FreeAcc_X_spec_power,0.704421,Medium,0.513038,Medium,-0.232372,Small
RF_FreeAcc_Y_mean,-1.391480,Large,-0.759922,Medium,0.805551,Large
RF_FreeAcc_Y_std,0.959226,Large,0.850547,Large,-0.264652,Small
RF_FreeAcc_Y_rms,0.899880,Large,0.877191,Large,-0.187014,Negligible
RF_FreeAcc_Y_dom_freq,0.260501,Small,-0.221933,Small,-0.562791,Medium
RF_FreeAcc_Y_spec_centroid,0.471911,Small,-0.729383,Medium,-1.108552,Large
RF_FreeAcc_Y_spec_power,0.909198,Large,0.897049,Large,-0.114204,Negligible
RF_FreeAcc_Z_mean,-0.151733,Negligible,-0.450633,Small,-0.214034,Small
RF_FreeAcc_Z_std,0.383703,Small,0.289686,Small,-0.126043,Negligible
RF_FreeAcc_Z_rms,0.384644,Small,0.327094,Small,-0.094531,Negligible
RF_FreeAcc_Z_dom_freq,0.167549,Negligible,0.094893,Negligible,-0.066914,Negligible
RF_FreeAcc_Z_spec_centroid,0.447415,Small,-0.258403,Small,-0.687126,Medium
RF_FreeAcc_Z_spec_power,0.276957,Small,0.315626,Small,-0.042579,Negligible
RF_Gyr_X_mean,1.383035,Large,0.914788,Large,-0.746649,Medium
RF_Gyr_X_std,0.551673,Medium,0.767799,Medium,0.151802,Negligible
RF_Gyr_X_rms,0.534221,Medium,0.801334,Large,0.184528,Negligible
RF_Gyr_X_dom_freq,0.037283,Negligible,-0.146598,Negligible,-0.225881,Small
RF_Gyr_X_spec_centroid,-0.378013,Small,-0.562412,Medium,-0.179200,Negligible
RF_Gyr_X_spec_power,0.593913,Medium,0.792264,Medium,0.192209,Negligible
RF_Gyr_Y_mean,-0.067759,Negligible,-0.009705,Negligible,0.059383,Negligible
RF_Gyr_Y_std,0.145529,Negligible,0.231332,Small,0.084590,Negligible
RF_Gyr_Y_rms,0.165945,Negligible,0.251980,Small,0.083221,Negligible
RF_Gyr_Y_dom_freq,-0.162216,Negligible,0.065081,Negligible,0.215645,Small
RF_Gyr_Y_spec_centroid,0.027991,Negligible,-0.158148,Negligible,-0.198382,Negligible
RF_Gyr_Y_spec_power,0.196585,Negligible,0.318536,Small,0.105033,Negligible
RF_Gyr_Z_mean,1.465678,Large,0.860863,Large,-0.701730,Medium
RF_Gyr_Z_std,0.894354,Large,0.773878,Medium,-0.104923,Negligible
RF_Gyr_Z_rms,0.908161,Large,0.776974,Medium,-0.116436,Negligible
RF_Gyr_Z_dom_freq,-0.272495,Small,-0.154096,Negligible,0.137326,Negligible
RF_Gyr_Z_spec_centroid,-0.075166,Negligible,0.051625,Negligible,0.126942,Negligible
RF_Gyr_Z_spec_power,1.006664,Large,0.836910,Large,-0.112599,Negligible
