phase,sensor,n_trials,best_feature,best_score,mean_score,median_score,top3_features,model,acc_mean,acc_std,bacc_mean,bacc_std,macro_f1_mean,macro_f1_std,auc_macro_ovr_mean,auc_macro_ovr_std,LR_acc_mean,LR_acc_std,LR_bacc_mean,LR_bacc_std,LR_f1_mean,LR_f1_std,LR_auc_mean,LR_auc_std,SVM_acc_mean,SVM_acc_std,SVM_bacc_mean,SVM_bacc_std,SVM_f1_mean,SVM_f1_std,SVM_auc_mean,SVM_auc_std,RF_acc_mean,RF_acc_std,RF_bacc_mean,RF_bacc_std,RF_f1_mean,RF_f1_std,RF_auc_mean,RF_auc_std
pre_uturn,LF,1356,LF_FreeAcc_X_entropy,1.2509035826389858,0.5959180490115461,0.530942744008391,LF_FreeAcc_X_entropy;LF_FreeAcc_Y_entropy;LF_FreeAcc_X_ptp,SVM,0.8097032623686351,0.05352187558366955,0.7893316827361291,0.059576366964118256,0.7763342902464403,0.0576937240798343,0.3678159765306784,0.01700697649729986,0.7696118768655856,0.030460789863181417,0.753481209845594,0.036339801879438687,0.7318545589977594,0.029159895027460584,0.37159334206959066,0.027475626958092587,0.8097032623686351,0.05352187558366955,0.7893316827361291,0.059576366964118256,0.7763342902464403,0.0576937240798343,0.3678159765306784,0.01700697649729986,0.7843717521570224,0.06412604632904968,0.7081812077139429,0.07629014702167004,0.7205998249067946,0.07186160649635231,0.4104519060967581,0.02025929725814007
uturn,HE,1356,HE_FreeAcc_Y_entropy,1.411301048034454,0.4671578767604899,0.4384451921617525,HE_FreeAcc_Y_entropy;HE_FreeAcc_Y_domfreq;HE_FreeAcc_X_domfreq,SVM,0.759306522330765,0.030137434107372,0.7180442928921018,0.044825352330801586,0.7029612134744302,0.0358023974072961,0.3307163410360899,0.013827530319015437,0.7560298383896292,0.02891533453427759,0.7143125972910711,0.03976110920984086,0.6912175059744182,0.04121593011521111,0.35512260772277837,0.008341260419725606,0.759306522330765,0.030137434107372,0.7180442928921018,0.044825352330801586,0.7029612134744302,0.0358023974072961,0.3307163410360899,0.013827530319015437,0.78979509563043,0.029469820977316756,0.6942269918739994,0.06145504141944273,0.7013586250679229,0.05177122690107822,0.3424760813600511,0.01619470640726575
post_uturn,LF,1356,LF_FreeAcc_Y_entropy,1.258718280264373,0.6153269614064277,0.5582844751487479,LF_FreeAcc_Y_entropy;LF_FreeAcc_X_entropy;LF_FreeAcc_X_rms,SVM,0.7917549888195591,0.04529951798518478,0.7571018587148552,0.05320410105467105,0.7427401026644447,0.0480728997803862,0.3686693339016805,0.021778663816766013,0.7599936873927862,0.013072838534352078,0.7390606365188905,0.032913519287669495,0.7153249121555535,0.028871956612472237,0.38298363740504865,0.01324681206891859,0.7917549888195591,0.04529951798518478,0.7571018587148552,0.05320410105467105,0.7427401026644447,0.0480728997803862,0.3686693339016805,0.021778663816766013,0.7824775545107113,0.04354925033979733,0.7027614130882612,0.055407708954844585,0.7120395227102922,0.04890792691441471,0.41331058065477944,0.016499028657111676
gait_full,HE,1356,HE_FreeAcc_X_domfreq,1.2122611073559575,0.4605414476356446,0.4313929602672074,HE_FreeAcc_X_domfreq;HE_FreeAcc_Y_entropy;HE_Gyr_Z_std,RF,0.848352988755607,0.006678448471633575,0.7671651088308521,0.02899114979638765,0.7817026094455444,0.026303694277054746,0.38150852021667775,0.02013574610362667,0.7852916688599725,0.024881120982856556,0.7399242940963376,0.03593851673867481,0.727434118425231,0.03378600287161933,0.3961409215939442,0.014344120334812534,0.8289274148107738,0.03311375623909974,0.7659492424409217,0.042358138654258706,0.7681051368519985,0.04123700054130006,0.3633026102153715,0.01891224407043097,0.848352988755607,0.006678448471633575,0.7671651088308521,0.02899114979638765,0.7817026094455444,0.026303694277054746,0.38150852021667775,0.02013574610362667
