feature_set,model,bacc,f1,n_features
Original (216 feats),SVM,0.7579588562359266,0.7501173429141483,216
Original (216 feats),XGBoost,0.756618768065912,0.7610994063388147,216
Original (216 feats),RF,0.7533450145709158,0.7638325480244955,216
Expanded (+ 5 derived),SVM,0.7393447180229614,0.7321784043541979,396
Expanded (+ 5 derived),XGBoost,0.7524837369188062,0.7579603017279154,396
Expanded (+ 5 derived),RF,0.743167542497728,0.7554232821808512,396
