phase,win_s,overlap_pct,model,bacc,f1,n_features,n_windows,n_classes
full_gait,5.0,50,SVM,0.7579588562359266,0.7501173429141483,216,14253,3
full_gait,5.0,50,XGBoost,0.756618768065912,0.7610994063388147,216,14253,3
full_gait,5.0,50,RF,0.7533450145709158,0.7638325480244955,216,14253,3
full_gait,5.0,25,SVM,0.7511012428228715,0.7425789112709001,216,9730,3
full_gait,5.0,25,XGBoost,0.759177980706056,0.7670997004168185,216,9730,3
full_gait,5.0,25,RF,0.7434396421382579,0.7608747004746859,216,9730,3
full_gait,3.0,50,SVM,0.7518859067158831,0.7362689522910563,216,25115,3
full_gait,3.0,50,XGBoost,0.760623849427913,0.7590060652841953,216,25115,3
full_gait,3.0,50,RF,0.753331249024623,0.7634716388698322,216,25115,3
pre_uturn,5.0,50,SVM,0.752034458591452,0.730891183366111,216,5927,3
pre_uturn,5.0,50,XGBoost,0.7669862247780992,0.7618679160717167,216,5927,3
pre_uturn,5.0,50,RF,0.7549607989864235,0.7516374522656302,216,5927,3
pre_uturn,6.0,50,SVM,0.7249587831330669,0.714732556212702,216,4580,3
pre_uturn,6.0,50,XGBoost,0.7572085913266553,0.7620027521566055,216,4580,3
pre_uturn,6.0,50,RF,0.7433422966223392,0.7585998708337571,216,4580,3
post_uturn,6.0,50,SVM,0.7422397766808395,0.7313034421511297,216,3604,3
post_uturn,6.0,50,XGBoost,0.7729371473798641,0.7744160751123037,216,3604,3
post_uturn,6.0,50,RF,0.7427120855622829,0.7602065046268824,216,3604,3
post_uturn,5.0,50,SVM,0.7501957733690191,0.7520901074288416,216,4729,3
post_uturn,5.0,50,XGBoost,0.792422665072398,0.8042386719088077,216,4729,3
post_uturn,5.0,50,RF,0.7426204057763706,0.7657286866513972,216,4729,3
uturn,1.0,50,SVM,0.7646587295245599,0.7526297817611354,216,6050,3
uturn,1.0,50,XGBoost,0.7408616708071885,0.7491666504351443,216,6050,3
uturn,1.0,50,RF,0.6836216895510312,0.7103344167017036,216,6050,3
uturn,1.28,50,SVM,0.7517100348212767,0.7361989966997597,216,4272,3
uturn,1.28,50,XGBoost,0.7469030822693364,0.7499890769972077,216,4272,3
uturn,1.28,50,RF,0.6784630194041853,0.7042359870393065,216,4272,3
