Sensor_Type,count,mean,std,min,25%,50%,75%,max
Across_HE_vs_LB,100.0000,0.1609,0.2180,0.0016,0.0262,0.0676,0.1731,0.9150
Across_HE_vs_LF,100.0000,0.1774,0.2271,0.0031,0.0321,0.0688,0.2191,0.8326
Across_HE_vs_RF,100.0000,0.1702,0.2184,0.0008,0.0218,0.0790,0.1915,0.8428
Across_LB_vs_LF,100.0000,0.2223,0.2420,0.0003,0.0518,0.1058,0.3593,0.8661
Across_LB_vs_RF,100.0000,0.2049,0.2392,0.0009,0.0314,0.0929,0.3143,0.8674
Across_LF_vs_RF,100.0000,0.2826,0.3064,0.0009,0.0331,0.1055,0.5369,0.9309
Within_HE,1431.0000,0.1624,0.1974,0.0000,0.0374,0.0810,0.2154,1.0000
Within_LB,1431.0000,0.2388,0.2660,0.0002,0.0387,0.1018,0.4293,1.0000
Within_LF,1431.0000,0.2850,0.2999,0.0002,0.0525,0.1328,0.5562,1.0000
Within_RF,1431.0000,0.2837,0.2999,0.0000,0.0489,0.1329,0.5359,1.0000
