Feature,d_healthy_vs_neuro,d_healthy_vs_neuro_interp,d_healthy_vs_ortho,d_healthy_vs_ortho_interp,d_neuro_vs_ortho,d_neuro_vs_ortho_interp
HE_Acc_X_mean,-0.209814,Small,0.082770,Negligible,0.250829,Small
HE_Acc_X_std,0.804261,Large,0.948663,Large,0.187955,Negligible
HE_Acc_X_rms,-0.140285,Negligible,0.222462,Small,0.260445,Small
HE_Acc_X_dom_freq,-0.132112,Negligible,0.096517,Negligible,0.211882,Small
HE_Acc_X_spec_centroid,0.448202,Small,-0.317729,Small,-0.750594,Medium
HE_Acc_X_spec_power,0.795499,Medium,0.885276,Large,0.157116,Negligible
HE_Acc_Y_mean,-0.208427,Small,0.415069,Small,0.525353,Medium
HE_Acc_Y_std,0.152931,Negligible,0.270628,Small,0.140159,Negligible
HE_Acc_Y_rms,0.020191,Negligible,0.056069,Negligible,0.025128,Negligible
HE_Acc_Y_dom_freq,0.007356,Negligible,0.228349,Small,0.231347,Small
HE_Acc_Y_spec_centroid,0.165244,Negligible,-0.305958,Small,-0.465425,Small
HE_Acc_Y_spec_power,0.167682,Negligible,0.210342,Small,0.065902,Negligible
HE_Acc_Z_mean,0.664130,Medium,-0.221935,Small,-0.879999,Large
HE_Acc_Z_std,0.757817,Medium,0.589339,Medium,-0.088887,Negligible
HE_Acc_Z_rms,0.786577,Medium,0.002369,Negligible,-0.761487,Medium
HE_Acc_Z_dom_freq,-0.232304,Small,0.253745,Small,0.455547,Small
HE_Acc_Z_spec_centroid,0.233958,Small,-0.286997,Small,-0.515521,Medium
HE_Acc_Z_spec_power,0.677146,Medium,0.510186,Medium,-0.079464,Negligible
HE_FreeAcc_X_mean,0.087920,Negligible,-0.416870,Small,-0.709951,Medium
HE_FreeAcc_X_std,0.337030,Small,0.522706,Medium,0.179876,Negligible
HE_FreeAcc_X_rms,0.433840,Small,0.436335,Small,0.054678,Negligible
HE_FreeAcc_X_dom_freq,-0.863051,Large,0.517449,Medium,1.298048,Large
HE_FreeAcc_X_spec_centroid,0.009594,Negligible,-0.235119,Small,-0.252850,Small
HE_FreeAcc_X_spec_power,0.299781,Small,0.488816,Small,0.163550,Negligible
HE_FreeAcc_Y_mean,-0.011514,Negligible,0.334351,Small,0.266906,Small
HE_FreeAcc_Y_std,0.686092,Medium,0.697936,Medium,0.149671,Negligible
HE_FreeAcc_Y_rms,0.457302,Small,0.633005,Medium,0.223933,Small
HE_FreeAcc_Y_dom_freq,0.968763,Large,-0.125337,Negligible,-1.026729,Large
HE_FreeAcc_Y_spec_centroid,0.563967,Medium,-0.383935,Small,-0.930064,Large
HE_FreeAcc_Y_spec_power,0.776986,Medium,0.645502,Medium,0.058266,Negligible
HE_FreeAcc_Z_mean,0.240229,Small,0.291970,Small,0.051234,Negligible
HE_FreeAcc_Z_std,0.757817,Medium,0.589339,Medium,-0.088887,Negligible
HE_FreeAcc_Z_rms,0.286412,Small,0.363243,Small,0.100989,Negligible
HE_FreeAcc_Z_dom_freq,-0.232304,Small,0.253745,Small,0.455547,Small
HE_FreeAcc_Z_spec_centroid,0.233958,Small,-0.286997,Small,-0.515521,Medium
HE_FreeAcc_Z_spec_power,0.677146,Medium,0.510186,Medium,-0.079464,Negligible
HE_Gyr_X_mean,0.162837,Negligible,0.125671,Negligible,-0.055911,Negligible
HE_Gyr_X_std,0.248521,Small,0.436837,Small,0.173323,Negligible
HE_Gyr_X_rms,0.237234,Small,0.495727,Small,0.246576,Small
HE_Gyr_X_dom_freq,-0.136020,Negligible,0.230656,Small,0.289091,Small
HE_Gyr_X_spec_centroid,-0.143101,Negligible,-0.181540,Negligible,-0.050595,Negligible
HE_Gyr_X_spec_power,0.174799,Negligible,0.376374,Small,0.168709,Negligible
HE_Gyr_Y_mean,-0.240476,Small,-0.018623,Negligible,0.257616,Small
HE_Gyr_Y_std,0.474260,Small,0.548161,Medium,0.006563,Negligible
HE_Gyr_Y_rms,0.492771,Small,0.595276,Medium,0.037914,Negligible
HE_Gyr_Y_dom_freq,-0.280819,Small,0.144225,Negligible,0.393749,Small
HE_Gyr_Y_spec_centroid,-0.342851,Small,-0.172304,Negligible,0.162062,Negligible
HE_Gyr_Y_spec_power,0.075559,Negligible,0.392211,Small,0.018295,Negligible
HE_Gyr_Z_mean,0.097590,Negligible,0.068741,Negligible,-0.026725,Negligible
HE_Gyr_Z_std,0.610008,Medium,0.557979,Medium,0.039567,Negligible
HE_Gyr_Z_rms,0.613365,Medium,0.575305,Medium,0.053409,Negligible
HE_Gyr_Z_dom_freq,-0.093559,Negligible,0.261477,Small,0.302760,Small
HE_Gyr_Z_spec_centroid,-0.250863,Small,-0.189777,Negligible,0.033491,Negligible
HE_Gyr_Z_spec_power,0.594789,Medium,0.464405,Small,-0.029727,Negligible
LB_Acc_X_mean,0.540489,Medium,-0.173006,Negligible,-0.694563,Medium
LB_Acc_X_std,0.918440,Large,0.906613,Large,0.153347,Negligible
LB_Acc_X_rms,0.684421,Medium,0.040178,Negligible,-0.666644,Medium
LB_Acc_X_dom_freq,-0.007963,Negligible,-0.226236,Small,-0.233147,Small
LB_Acc_X_spec_centroid,0.510569,Medium,-0.280028,Small,-0.796862,Medium
LB_Acc_X_spec_power,0.976990,Large,0.843527,Large,0.050226,Negligible
LB_Acc_Y_mean,0.256575,Small,-0.425009,Small,-0.539159,Medium
LB_Acc_Y_std,0.303766,Small,0.314436,Small,0.054047,Negligible
LB_Acc_Y_rms,-0.008569,Negligible,0.167664,Negligible,0.168431,Negligible
LB_Acc_Y_dom_freq,0.959793,Large,0.627387,Medium,-0.132279,Negligible
LB_Acc_Y_spec_centroid,0.811873,Large,-0.064798,Negligible,-0.855489,Large
LB_Acc_Y_spec_power,0.319983,Small,0.268636,Small,-0.033885,Negligible
LB_Acc_Z_mean,0.014373,Negligible,-0.075736,Negligible,-0.070245,Negligible
LB_Acc_Z_std,0.641676,Medium,0.861498,Large,0.346823,Small
LB_Acc_Z_rms,-0.111857,Negligible,0.190760,Negligible,0.283412,Small
LB_Acc_Z_dom_freq,0.179652,Negligible,0.598630,Medium,0.439981,Small
LB_Acc_Z_spec_centroid,0.415117,Small,-0.217428,Small,-0.627192,Medium
LB_Acc_Z_spec_power,0.717605,Medium,0.826546,Large,0.240762,Small
LB_FreeAcc_X_mean,0.075835,Negligible,0.179212,Negligible,0.063737,Negligible
LB_FreeAcc_X_std,0.918440,Large,0.906613,Large,0.153347,Negligible
LB_FreeAcc_X_rms,0.903416,Large,0.900709,Large,0.164756,Negligible
LB_FreeAcc_X_dom_freq,-0.007963,Negligible,-0.226236,Small,-0.233147,Small
LB_FreeAcc_X_spec_centroid,0.510569,Medium,-0.280028,Small,-0.796862,Medium
LB_FreeAcc_X_spec_power,0.976990,Large,0.843527,Large,0.050226,Negligible
LB_FreeAcc_Y_mean,-0.010606,Negligible,-0.021383,Negligible,-0.001313,Negligible
LB_FreeAcc_Y_std,0.303766,Small,0.314436,Small,0.054047,Negligible
LB_FreeAcc_Y_rms,0.167025,Negligible,0.298129,Small,0.161324,Negligible
LB_FreeAcc_Y_dom_freq,0.959793,Large,0.627387,Medium,-0.132279,Negligible
LB_FreeAcc_Y_spec_centroid,0.811873,Large,-0.064798,Negligible,-0.855489,Large
