Sensor_Type,count,mean,std,min,25%,50%,75%,max
Across_HE_vs_LB,100.0000,0.1576,0.2047,0.0029,0.0328,0.0677,0.1928,0.7983
Across_HE_vs_LF,100.0000,0.1128,0.1324,0.0012,0.0355,0.0623,0.1236,0.5520
Across_HE_vs_RF,100.0000,0.1016,0.1159,0.0015,0.0266,0.0677,0.1127,0.5076
Across_LB_vs_LF,100.0000,0.1438,0.1517,0.0012,0.0522,0.0823,0.1660,0.6545
Across_LB_vs_RF,100.0000,0.1261,0.1293,0.0028,0.0455,0.0890,0.1422,0.5740
Across_LF_vs_RF,100.0000,0.1756,0.1765,0.0011,0.0440,0.1056,0.2430,0.6329
Within_HE,1431.0000,0.1704,0.2021,0.0000,0.0370,0.0907,0.2186,1.0000
Within_LB,1431.0000,0.1970,0.2287,0.0000,0.0445,0.1004,0.2525,1.0000
Within_LF,1431.0000,0.2511,0.2611,0.0005,0.0524,0.1310,0.4395,1.0000
Within_RF,1431.0000,0.2306,0.2561,0.0000,0.0501,0.1058,0.3647,1.0000
