Feature,Sensor,Channel,Metric,Overall_Mean,Overall_Std,Overall_Min,Overall_Max,Overall_Median,healthy_Mean,healthy_Std,healthy_Median,healthy_N,neuro_Mean,neuro_Std,neuro_Median,neuro_N,ortho_Mean,ortho_Std,ortho_Median,ortho_N
RF_FreeAcc_Y_rms,RF,FreeAcc,Y_rms,1.950278,0.896878,0.124866,5.826082,1.810168,2.785867,1.105581,2.621583,29,1.894187,0.905141,1.746045,612,2.042893,0.642435,2.024471,109
RF_FreeAcc_Y_dom_freq,RF,FreeAcc,Y_dom_freq,1.768889,1.517414,0.333333,11.666667,1.333333,1.804598,1.440671,1.000000,29,1.623638,1.247715,1.333333,612,2.574924,2.418155,1.666667,109
RF_FreeAcc_Y_spec_centroid,RF,FreeAcc,Y_spec_centroid,5.832161,1.899974,2.776239,13.134294,5.498978,6.453914,1.670625,6.320433,29,5.523017,1.837172,5.043580,612,7.402486,1.443166,7.075781,109
RF_FreeAcc_Y_spec_power,RF,FreeAcc,Y_spec_power,1244.634677,1246.461292,1.810051,10218.894491,894.877757,2459.325735,1938.659702,1764.387025,29,1175.530364,1239.764503,812.599886,612,1309.458519,823.127962,1120.127587,109
RF_FreeAcc_Z_mean,RF,FreeAcc,Z_mean,-0.349592,0.383049,-1.965444,0.644694,-0.307972,-0.457332,0.411567,-0.431985,29,-0.358507,0.396315,-0.314641,612,-0.270871,0.274323,-0.237520,109
RF_FreeAcc_Z_std,RF,FreeAcc,Z_std,2.022582,1.019563,0.048300,7.532880,1.885441,2.552941,1.049274,2.494276,29,1.978529,1.030722,1.844692,612,2.128822,0.903034,1.950813,109
RF_FreeAcc_Z_rms,RF,FreeAcc,Z_rms,2.080974,1.033769,0.083769,7.592590,1.939352,2.624188,1.051170,2.496792,29,2.041526,1.046196,1.903019,612,2.157938,0.915862,1.983954,109
RF_FreeAcc_Z_dom_freq,RF,FreeAcc,Z_dom_freq,1.594222,0.984946,0.333333,6.333333,1.333333,1.678161,1.048365,1.333333,29,1.598039,0.992247,1.333333,612,1.550459,0.932248,1.333333,109
RF_FreeAcc_Z_spec_centroid,RF,FreeAcc,Z_spec_centroid,5.664573,2.034394,2.715064,13.435728,5.240694,6.316448,2.015894,5.780477,29,5.467030,2.060292,4.820262,612,6.600280,1.554345,6.247149,109
RF_FreeAcc_Z_spec_power,RF,FreeAcc,Z_spec_power,1549.005615,1777.436932,0.704557,17137.526611,1073.622772,2289.400049,1815.259746,1878.950671,29,1502.576325,1841.939495,1027.717939,612,1612.705499,1303.179307,1149.363140,109
