metric,spearman_r,p_value,n
stride_absAI,-0.20626779418991126,2.2977507904541143e-10,927
step_absAI,-0.1393398210014007,2.067297529740946e-05,927
stride_abs_diff,-0.19323390424611478,3.003982188309621e-09,927
step_abs_diff,-0.14727524672509526,6.713821869143338e-06,927
stride_CV_l,0.06415581750899081,0.05085424696152677,927
step_CV_l,0.01895677218434387,0.5643153052388237,927
