feature,kw_p,direction,kw_p_resid
HE_Acc_Y__spec_power,5.250784347657316e-07,↑ H<O<N,1.843334853944363e-18
LB_Gyr_Y__spec_centroid_hz,6.566846814245504e-07,∨ valley-ortho,1.8642796716838363e-08
HE_FreeAcc_X__spec_power,7.461563298100177e-07,∨ valley-ortho,1.3382163733093322e-11
LF_Acc_Y__rms,9.038609333432178e-07,∨ valley-ortho,0.0004543203289541323
stride_abs_diff,9.757401782808256e-07,↓ H>O>N,0.2716901622931416
RF_Acc_X__mean,1.5063918969317266e-06,∨ valley-ortho,1.9981569205478543e-06
HE_Acc_X__mean,1.9931517923927364e-06,↑ H<O<N,0.0031597002867381134
LB_Gyr_Y__dom_freq_hz,2.483028668513412e-06,∨ valley-ortho,5.119205169112715e-05
RF_Gyr_Z__spec_centroid_hz,4.7062335032397375e-06,↑ H<O<N,0.5206818964784303
LB_Gyr_Z__dom_freq_hz,6.74629825025603e-06,∨ valley-ortho,0.002353841020062188
LB_Acc_Z__spec_power,2.3552922183784726e-05,∨ valley-ortho,1.295996024939137e-09
LB_FreeAcc_Z__spec_power,2.3552922183784726e-05,∨ valley-ortho,1.295996024939137e-09
LF_Gyr_Z__rms,2.4121294059978514e-05,∨ valley-ortho,3.7601293085345566e-07
LF_Gyr_Z__std,2.7626751170271915e-05,∨ valley-ortho,4.7454476677840156e-07
HE_Gyr_X__spec_power,3.148993818995636e-05,∨ valley-ortho,0.0004382807343941461
LB_Gyr_Y__mean,6.877685873573429e-05,∧ peak-ortho,0.0002157605255083099
HE_FreeAcc_X__rms,0.00014687109118720817,↓ H>O>N,0.13420662206266198
LB_Gyr_X__spec_centroid_hz,0.00025765565993339897,∨ valley-ortho,0.025121097692615533
LF_Gyr_Z__spec_centroid_hz,0.00028285835965400003,↑ H<O<N,0.2977040869335599
HE_Acc_X__dom_freq_hz,0.0003160445558765748,∨ valley-ortho,4.036988779696591e-07
LF_FreeAcc_Y__mean,0.00039548887620781105,∧ peak-ortho,0.0016332924216812224
LB_Gyr_Z__spec_centroid_hz,0.0005590587202708174,∨ valley-ortho,0.00017441499586930956
HE_Acc_X__rms,0.0006521939292523515,∨ valley-ortho,0.004381750238556961
