trial,duration_s,steps,has_LF,has_RF,has_LB,LF_gyr_y_mean,LF_gyr_y_std,LF_gyr_y_rms,LF_gyr_y_dom_freq_hz,LF_gyr_y_spec_centroid_hz,LF_gyr_y_spec_power,RF_gyr_y_mean,RF_gyr_y_std,RF_gyr_y_rms,RF_gyr_y_dom_freq_hz,RF_gyr_y_spec_centroid_hz,RF_gyr_y_spec_power
HS_1_1,,27,True,True,True,-0.015001939227404507,3.5096228033679755,3.5096548662370024,1.9412643106022898,1.9963124963865189,24857117.44065053,0.0706657453170168,3.4229232470586473,3.4236526112933423,1.9412643106022898,1.9723482359061912,23644176.8888476
HS_1_2,,27,True,True,True,0.015159725983255183,3.390573105657723,3.390606996114611,0.9569377990430621,1.9773861241081567,24975661.832434624,0.050188757440811776,3.3440683119943433,3.3444449145797193,0.9569377990430621,2.0148566674749535,24271860.539831147
HS_1_3,,26,True,True,True,0.011369370667798324,3.596053371030532,3.5960713438264036,0.9693053311793214,1.9573831328601656,22296981.280911017,0.028263833237636628,3.5888225774893194,3.5889338719132686,0.9693053311793214,2.0465377161019855,22183486.252877943
HS_1_4,,27,True,True,True,0.007730450751789232,3.57393729564196,3.573945656141038,0.9753593429158111,2.041114402959678,24234929.82951564,0.0091641948698906,3.5358971227952445,3.5359089984697434,0.9753593429158111,2.0456744128429585,23721773.278811336
HS_1_5,,27,True,True,True,-0.0009898477493123603,3.5102959921190053,3.510296131679679,2.021772939346812,2.0256139861905207,22842471.50043266,0.053877031988005544,3.545010203577609,3.54541959125365,2.021772939346812,1.9920623674496507,23260132.57914253
HS_10_1,,28,True,True,True,-0.012729880018718063,3.1862608248403177,3.186286254208399,1.8975332068311193,1.9792641812022325,22471007.955650963,-0.007941187047488349,3.299207562424485,3.2992171196225684,1.8975332068311193,1.9473660686714869,24046460.92102765
HS_10_2,14.5,24,True,True,True,-0.06345246978052643,3.8862267611728476,3.886744737589188,1.9297036526533426,2.064586545265921,15898681.360384012,0.03271079667668146,3.9732922500297234,3.9734268963157593,1.9297036526533426,2.0281631212600555,16596129.789958104
HS_10_3,,25,True,True,True,-0.005656901490393049,3.695226113130533,3.695230443111263,1.939924906132666,2.0473012804353097,17434343.197025977,0.016242369766236494,3.845834310542691,3.8458686091340923,1.939924906132666,2.0409121108440202,18849012.656089317
HS_10_4,,24,True,True,True,-0.044487477205392534,3.8061287855540424,3.806388769930259,1.9091507570770245,2.0683062091286457,16459867.316067861,0.005220606499154167,3.949898747471384,3.9499021975244175,1.9091507570770245,2.0492432886751177,17750537.873853087
HS_10_5,,25,True,True,True,0.00875178813642711,3.7976203987631365,3.7976304831957344,1.9884541372674793,2.082158793180994,17458650.790963847,0.011385224928069027,3.8465564361339695,3.8465732853684624,1.9884541372674793,2.083825159969384,17980694.083019994
HS_11_1,,28,True,True,True,-0.012220393368436703,3.4516599629900626,3.4516815957041347,1.9038553069966682,2.1600711072470147,26120080.790120758,0.03862218320683223,3.3004800178423466,3.3007059883019383,1.9038553069966682,2.239010552270085,23985100.94109599
HS_11_2,,28,True,True,True,0.028754856872068347,3.3694117303281614,3.369534426336485,1.923076923076923,2.1469893152430957,27075933.59943931,0.02691943665173309,3.2228839920594687,3.222996413641012,1.923076923076923,2.227823186227359,24726832.028055727
