k,sensors,macro_f1,balanced_acc
full,"HE,LB,LF,RF",0.8157856959508181,0.8087703154248673
1,RF,0.7933082778556446,0.7920922655744741
2,"LB,RF",0.8130122620551647,0.8110058489831257
3,"HE,LB,RF",0.8176375232548108,0.810417930593851
recommended(2),"LB,RF",0.8130122620551647,0.8110058489831257
