Feature,d_healthy_vs_neuro,d_healthy_vs_neuro_interp,d_healthy_vs_ortho,d_healthy_vs_ortho_interp,d_neuro_vs_ortho,d_neuro_vs_ortho_interp
HE_Acc_X_mean,-0.192157,Negligible,-0.088248,Negligible,0.145150,Negligible
HE_Acc_X_std,1.493007,Large,1.234829,Large,-0.262017,Small
HE_Acc_X_rms,-0.062405,Negligible,0.135124,Negligible,0.128579,Negligible
HE_Acc_X_dom_freq,-0.074593,Negligible,0.204876,Small,0.212998,Small
HE_Acc_X_spec_centroid,0.491944,Small,-0.165503,Negligible,-0.645563,Medium
HE_Acc_X_spec_power,1.485989,Large,1.131925,Large,-0.191746,Negligible
HE_Acc_Y_mean,-0.074523,Negligible,0.199498,Negligible,0.217182,Small
HE_Acc_Y_std,0.310930,Small,-0.071765,Negligible,-0.393247,Small
HE_Acc_Y_rms,0.033487,Negligible,-0.006095,Negligible,-0.038842,Negligible
HE_Acc_Y_dom_freq,0.106331,Negligible,0.333905,Small,0.224598,Small
HE_Acc_Y_spec_centroid,0.267551,Small,-0.016739,Negligible,-0.284381,Small
HE_Acc_Y_spec_power,0.318285,Small,-0.022592,Negligible,-0.352548,Small
HE_Acc_Z_mean,0.587276,Medium,-0.053283,Negligible,-0.653975,Medium
HE_Acc_Z_std,0.942162,Large,0.413106,Small,-0.492210,Small
HE_Acc_Z_rms,0.812948,Large,0.166009,Negligible,-0.627836,Medium
HE_Acc_Z_dom_freq,0.136318,Negligible,0.247955,Small,0.118200,Negligible
HE_Acc_Z_spec_centroid,0.341036,Small,0.038621,Negligible,-0.306573,Small
HE_Acc_Z_spec_power,0.804133,Large,0.359557,Small,-0.387068,Small
HE_FreeAcc_X_mean,0.058562,Negligible,-0.664455,Medium,-1.133359,Large
HE_FreeAcc_X_std,0.608436,Medium,0.378020,Small,-0.270802,Small
HE_FreeAcc_X_rms,0.799498,Medium,0.242830,Small,-0.560279,Medium
HE_FreeAcc_X_dom_freq,-0.831079,Large,0.695924,Medium,1.440696,Large
HE_FreeAcc_X_spec_centroid,0.122772,Negligible,0.046757,Negligible,-0.077738,Negligible
HE_FreeAcc_X_spec_power,0.548248,Medium,0.412063,Small,-0.157670,Negligible
