Feature,H_Statistic,p_value,eta_squared,Effect_Size,Significant
HE_FreeAcc_Y_dom_freq,760.040060,0.000000,0.292793,Large,Yes
HE_FreeAcc_X_dom_freq,701.572758,0.000000,0.270210,Large,Yes
RF_Acc_X_std,642.601001,0.000000,0.248295,Large,Yes
RF_FreeAcc_X_std,642.601001,0.000000,0.248295,Large,Yes
RF_Acc_X_spec_power,642.599712,0.000000,0.248294,Large,Yes
RF_FreeAcc_X_spec_power,642.599712,0.000000,0.248294,Large,Yes
LF_Acc_X_spec_power,637.870058,0.000000,0.246270,Large,Yes
LF_FreeAcc_X_spec_power,637.870058,0.000000,0.246270,Large,Yes
LF_FreeAcc_X_std,637.869047,0.000000,0.246270,Large,Yes
LF_Acc_X_std,637.869047,0.000000,0.246270,Large,Yes
LF_FreeAcc_X_rms,631.130497,0.000000,0.243660,Large,Yes
RF_FreeAcc_X_rms,628.860846,0.000000,0.242969,Large,Yes
LB_FreeAcc_X_std,599.536492,0.000000,0.231155,Large,Yes
LB_Acc_X_std,599.536492,0.000000,0.231155,Large,Yes
LB_Acc_X_spec_power,599.535480,0.000000,0.231155,Large,Yes
LB_FreeAcc_X_spec_power,599.535480,0.000000,0.231155,Large,Yes
RF_FreeAcc_Y_spec_centroid,598.219777,0.000000,0.231093,Large,Yes
RF_Acc_Y_spec_centroid,598.219777,0.000000,0.231093,Large,Yes
LB_FreeAcc_X_rms,591.547588,0.000000,0.228065,Large,Yes
LF_FreeAcc_Y_spec_centroid,569.035638,0.000000,0.219611,Large,Yes
LF_Acc_Y_spec_centroid,569.035638,0.000000,0.219611,Large,Yes
RF_Acc_Y_std,557.070216,0.000000,0.215143,Large,Yes
RF_FreeAcc_Y_std,557.070216,0.000000,0.215143,Large,Yes
RF_FreeAcc_Y_spec_power,557.070216,0.000000,0.215143,Large,Yes
RF_Acc_Y_spec_power,557.070216,0.000000,0.215143,Large,Yes
RF_FreeAcc_Y_rms,550.266787,0.000000,0.212507,Large,Yes
RF_FreeAcc_X_mean,542.736000,0.000000,0.209588,Large,Yes
LF_Acc_Z_rms,533.957786,0.000000,0.206025,Large,Yes
LF_Gyr_Y_spec_power,532.250928,0.000000,0.205364,Large,Yes
LF_Gyr_Y_std,532.250928,0.000000,0.205364,Large,Yes
LF_Gyr_Y_rms,531.973787,0.000000,0.205257,Large,Yes
LF_FreeAcc_Z_std,530.238857,0.000000,0.204585,Large,Yes
LF_Acc_Z_std,530.238857,0.000000,0.204585,Large,Yes
LF_FreeAcc_Z_spec_power,530.237721,0.000000,0.204585,Large,Yes
LF_Acc_Z_spec_power,530.237721,0.000000,0.204585,Large,Yes
LF_FreeAcc_Z_rms,528.402758,0.000000,0.203874,Large,Yes
LF_Acc_X_rms,524.807047,0.000000,0.202481,Large,Yes
LF_Acc_Y_mean,518.204218,0.000000,0.199924,Large,Yes
HE_Acc_X_std,502.605896,0.000000,0.193733,Large,Yes
HE_Acc_X_spec_power,502.605200,0.000000,0.193733,Large,Yes
RF_Acc_Z_rms,497.570160,0.000000,0.192081,Large,Yes
RF_Acc_X_rms,481.605342,0.000000,0.185894,Large,Yes
LB_Acc_Z_std,477.291712,0.000000,0.183865,Large,Yes
LB_FreeAcc_Z_spec_power,477.291712,0.000000,0.183865,Large,Yes
LB_Acc_Z_spec_power,477.291712,0.000000,0.183865,Large,Yes
LB_FreeAcc_Z_std,477.291712,0.000000,0.183865,Large,Yes
LF_FreeAcc_X_mean,464.692485,0.000000,0.179199,Large,Yes
RF_FreeAcc_Z_spec_centroid,448.790672,0.000000,0.173175,Large,Yes
RF_Acc_Z_spec_centroid,448.790672,0.000000,0.173175,Large,Yes
RF_Gyr_X_mean,447.621158,0.000000,0.172721,Large,Yes
RF_Gyr_Y_spec_power,447.514598,0.000000,0.172680,Large,Yes
RF_Gyr_Y_std,447.514598,0.000000,0.172680,Large,Yes
RF_Gyr_Y_rms,447.509355,0.000000,0.172678,Large,Yes
LF_Gyr_X_mean,439.831345,0.000000,0.169571,Large,Yes
RF_Acc_Z_std,434.425922,0.000000,0.167607,Large,Yes
RF_Acc_Z_spec_power,434.425922,0.000000,0.167607,Large,Yes
RF_FreeAcc_Z_std,434.425922,0.000000,0.167607,Large,Yes
RF_FreeAcc_Z_spec_power,434.425922,0.000000,0.167607,Large,Yes
RF_FreeAcc_Z_rms,434.405122,0.000000,0.167599,Large,Yes
LB_Acc_X_rms,416.464721,0.000000,0.160335,Large,Yes
RF_Acc_Y_rms,392.040431,0.000000,0.151178,Large,Yes
LF_Acc_Y_spec_power,390.544574,0.000000,0.150482,Large,Yes
LF_FreeAcc_Y_spec_power,390.544574,0.000000,0.150482,Large,Yes
LF_Acc_Y_std,390.541334,0.000000,0.150481,Large,Yes
LF_FreeAcc_Y_std,390.541334,0.000000,0.150481,Large,Yes
RF_Acc_X_spec_centroid,388.122392,0.000000,0.149660,Large,Yes
RF_FreeAcc_X_spec_centroid,388.122392,0.000000,0.149660,Large,Yes
