Feature,Sensor,Channel,Metric,Overall_Mean,Overall_Std,Overall_Min,Overall_Max,Overall_Median,healthy_Mean,healthy_Std,healthy_Median,healthy_N,neuro_Mean,neuro_Std,neuro_Median,neuro_N,ortho_Mean,ortho_Std,ortho_Median,ortho_N
HE_Acc_X_mean,HE,Acc,X_mean,9.401641,0.833458,0.000000,14.134639,9.541731,9.276297,0.429717,9.381329,401,9.443790,0.939956,9.592212,1860,9.315336,0.457470,9.457590,326
HE_Acc_X_std,HE,Acc,X_std,1.208693,0.534286,0.000000,3.588725,1.124929,1.794250,0.515868,1.823594,401,1.083248,0.467251,1.034337,1860,1.204147,0.426510,1.127082,326
HE_Acc_X_rms,HE,Acc,X_rms,9.493989,0.834246,0.000000,14.161574,9.623444,9.462245,0.430195,9.528726,401,9.516837,0.943474,9.650639,1860,9.402676,0.453601,9.540703,326
HE_Acc_X_dom_freq,HE,Acc,X_dom_freq,1.847222,0.681584,0.166667,7.166667,1.833333,1.823845,0.328301,1.833333,404,1.874731,0.736820,1.833333,1860,1.720020,0.663690,1.666667,328
HE_Acc_X_spec_centroid,HE,Acc,X_spec_centroid,5.444574,1.417646,0.000000,10.138605,5.395847,5.919559,1.308092,5.898637,401,5.224188,1.435189,5.083748,1860,6.117732,1.045205,5.976567,326
HE_Acc_X_spec_power,HE,Acc,X_spec_power,1051.276095,944.809089,0.000000,7753.213690,761.818624,2097.864121,1168.364954,2001.965345,401,837.771008,761.626264,644.058469,1860,982.066480,698.256895,764.738889,326
HE_Acc_Y_mean,HE,Acc,Y_mean,-0.257473,0.869130,-3.324505,6.293097,-0.310325,-0.289964,0.703181,-0.322197,401,-0.222564,0.942108,-0.286050,1860,-0.416678,0.539820,-0.387248,326
HE_Acc_Y_std,HE,Acc,Y_std,1.093653,0.390175,0.000000,2.987204,1.055555,1.177022,0.418047,1.109615,401,1.056112,0.382294,1.018450,1860,1.205294,0.362115,1.166495,326
HE_Acc_Y_rms,HE,Acc,Y_rms,1.361257,0.562799,0.000000,6.330219,1.264763,1.374969,0.497086,1.328234,401,1.355416,0.600923,1.247309,1860,1.377719,0.387224,1.299603,326
HE_Acc_Y_dom_freq,HE,Acc,Y_dom_freq,0.976209,0.566867,0.166667,4.500000,0.833333,1.043729,0.614265,0.833333,404,0.982437,0.567896,0.833333,1860,0.857724,0.477223,0.833333,328
HE_Acc_Y_spec_centroid,HE,Acc,Y_spec_centroid,5.007265,1.570153,0.000000,9.932020,4.899953,5.309158,1.466787,5.154552,401,4.885101,1.609253,4.767542,1860,5.332931,1.360729,5.264777,326
HE_Acc_Y_spec_power,HE,Acc,Y_spec_power,811.657088,574.316886,0.000000,5371.930294,670.753110,938.952998,660.497447,741.217903,401,759.396057,541.167261,624.423989,1860,953.251742,597.221195,819.157556,326
HE_Acc_Z_mean,HE,Acc,Z_mean,0.968015,2.038802,-7.270462,7.044223,1.002938,1.785871,2.126001,2.088519,401,0.629246,1.934138,0.644556,1860,1.894857,1.941657,2.205067,326
