Sensor_Type,count,mean,std,min,25%,50%,75%,max
Across_HE_vs_LB,100.0000,0.1619,0.2090,0.0005,0.0261,0.0723,0.1835,0.9062
Across_HE_vs_LF,100.0000,0.1648,0.2188,0.0023,0.0301,0.0718,0.1928,0.7987
Across_HE_vs_RF,100.0000,0.1640,0.2036,0.0029,0.0363,0.0836,0.2056,0.8083
Across_LB_vs_LF,100.0000,0.2429,0.2192,0.0020,0.0753,0.1781,0.3403,0.8238
Across_LB_vs_RF,100.0000,0.2371,0.2136,0.0060,0.0767,0.1668,0.3354,0.8263
Across_LF_vs_RF,100.0000,0.3120,0.2788,0.0013,0.0817,0.1971,0.5247,0.9322
Within_HE,1431.0000,0.1660,0.1938,0.0001,0.0368,0.0918,0.2140,1.0000
Within_LB,1431.0000,0.2302,0.2329,0.0001,0.0531,0.1489,0.3321,1.0000
Within_LF,1431.0000,0.2871,0.2807,0.0001,0.0623,0.1740,0.4814,1.0000
Within_RF,1431.0000,0.3018,0.2718,0.0005,0.0835,0.2081,0.4854,1.0000
